file,R2,r,trait,snpset
DTP_gerp10.ghatREL1,0.914889342042315,0.956498479895454,DTP,gerp10.ghatREL1
DTP_gerp11.ghatREL1,0.966186018851557,0.982947617552205,DTP,gerp11.ghatREL1
DTP_gerp12.ghatREL1,0.913528007833738,0.955786591156069,DTP,gerp12.ghatREL1
DTP_gerp1.ghatREL1,0.974833950693017,0.987336796991289,DTP,gerp1.ghatREL1
DTP_gerp2.ghatREL1,0.897384611994292,0.947303864657108,DTP,gerp2.ghatREL1
DTP_gerp3.ghatREL1,0.827286262220868,0.909552781437596,DTP,gerp3.ghatREL1
DTP_gerp4.ghatREL1,0.976406626630194,0.988132899275292,DTP,gerp4.ghatREL1
DTP_gerp5.ghatREL1,0.959528821878169,0.979555420524111,DTP,gerp5.ghatREL1
DTP_gerp6.ghatREL1,0.935230336383367,0.967073077064689,DTP,gerp6.ghatREL1
DTP_gerp7.ghatREL1,0.950311883374454,0.974839414146994,DTP,gerp7.ghatREL1
DTP_gerp8.ghatREL1,0.941234888598518,0.970172607631507,DTP,gerp8.ghatREL1
DTP_gerp9.ghatREL1,0.900115792436299,0.948744324060123,DTP,gerp9.ghatREL1
DTP_randsnp10_s10.ghatREL1,0.914875785103102,0.956491393115015,DTP,randsnp10
DTP_randsnp10_s11.ghatREL1,0.96621973255809,0.982964766692118,DTP,randsnp10
DTP_randsnp10_s12.ghatREL1,0.913795576258981,0.955926553799496,DTP,randsnp10
DTP_randsnp10_s1.ghatREL1,0.974885287150695,0.987362794088726,DTP,randsnp10
DTP_randsnp10_s2.ghatREL1,0.897616941760328,0.947426483564993,DTP,randsnp10
DTP_randsnp10_s3.ghatREL1,0.827252674999666,0.909534317659134,DTP,randsnp10
DTP_randsnp10_s4.ghatREL1,0.976515643824687,0.988188060960406,DTP,randsnp10
DTP_randsnp10_s5.ghatREL1,0.959338600779389,0.979458320082784,DTP,randsnp10
DTP_randsnp10_s6.ghatREL1,0.93533513774038,0.967127260364622,DTP,randsnp10
DTP_randsnp10_s7.ghatREL1,0.950175729744493,0.974769577769276,DTP,randsnp10
DTP_randsnp10_s8.ghatREL1,0.941334739336007,0.97022406656195,DTP,randsnp10
DTP_randsnp10_s9.ghatREL1,0.899881269304174,0.948620719415391,DTP,randsnp10
DTP_randsnp1_s10.ghatREL1,0.914866569134903,0.95648657551212,DTP,randsnp1
DTP_randsnp1_s11.ghatREL1,0.966314629261625,0.983013036160572,DTP,randsnp1
DTP_randsnp1_s12.ghatREL1,0.913740070833529,0.955897521093935,DTP,randsnp1
DTP_randsnp1_s1.ghatREL1,0.97485270423085,0.987346293977372,DTP,randsnp1
DTP_randsnp1_s2.ghatREL1,0.897584398174967,0.947409308680766,DTP,randsnp1
DTP_randsnp1_s3.ghatREL1,0.827264107576397,0.909540602489189,DTP,randsnp1
DTP_randsnp1_s4.ghatREL1,0.976567580636482,0.988214339420594,DTP,randsnp1
DTP_randsnp1_s5.ghatREL1,0.959300841823596,0.979439044465553,DTP,randsnp1
DTP_randsnp1_s6.ghatREL1,0.935261776925482,0.967089332443225,DTP,randsnp1
DTP_randsnp1_s7.ghatREL1,0.950200355458283,0.97478220924383,DTP,randsnp1
DTP_randsnp1_s8.ghatREL1,0.941287917898397,0.970199937074002,DTP,randsnp1
DTP_randsnp1_s9.ghatREL1,0.899767648837149,0.948560830330427,DTP,randsnp1
DTP_randsnp2_s10.ghatREL1,0.914886302361289,0.956496890931324,DTP,randsnp2
DTP_randsnp2_s11.ghatREL1,0.966253561871048,0.982981974336787,DTP,randsnp2
DTP_randsnp2_s12.ghatREL1,0.913717397605129,0.955885661366007,DTP,randsnp2
DTP_randsnp2_s1.ghatREL1,0.974883330647664,0.987361803316122,DTP,randsnp2
DTP_randsnp2_s2.ghatREL1,0.897530330422701,0.947380773724431,DTP,randsnp2
DTP_randsnp2_s3.ghatREL1,0.82731270483782,0.909567317375586,DTP,randsnp2
DTP_randsnp2_s4.ghatREL1,0.976495752820038,0.988177996526961,DTP,randsnp2
DTP_randsnp2_s5.ghatREL1,0.959278185869681,0.97942747861681,DTP,randsnp2
DTP_randsnp2_s6.ghatREL1,0.935323371193243,0.967121177098942,DTP,randsnp2
DTP_randsnp2_s7.ghatREL1,0.950263074804753,0.974814379666587,DTP,randsnp2
DTP_randsnp2_s8.ghatREL1,0.941282130956291,0.970196954724293,DTP,randsnp2
DTP_randsnp2_s9.ghatREL1,0.899840925675051,0.948599454814861,DTP,randsnp2
DTP_randsnp3_s10.ghatREL1,0.914748262206018,0.956424728980811,DTP,randsnp3
DTP_randsnp3_s11.ghatREL1,0.966226112502614,0.982968011942715,DTP,randsnp3
DTP_randsnp3_s12.ghatREL1,0.913796647399164,0.955927114062136,DTP,randsnp3
DTP_randsnp3_s1.ghatREL1,0.974927681983831,0.987384262576547,DTP,randsnp3
DTP_randsnp3_s2.ghatREL1,0.89772130888362,0.947481561236745,DTP,randsnp3
DTP_randsnp3_s3.ghatREL1,0.827252765761685,0.909534367553906,DTP,randsnp3
DTP_randsnp3_s4.ghatREL1,0.976552988695687,0.988206956409277,DTP,randsnp3
DTP_randsnp3_s5.ghatREL1,0.959320847972983,0.979449257477376,DTP,randsnp3
DTP_randsnp3_s6.ghatREL1,0.935286705635922,0.96710222088253,DTP,randsnp3
DTP_randsnp3_s7.ghatREL1,0.950248183845809,0.974806741793372,DTP,randsnp3
DTP_randsnp3_s8.ghatREL1,0.941258814672669,0.970184938386836,DTP,randsnp3
DTP_randsnp3_s9.ghatREL1,0.899878622070107,0.948619324107467,DTP,randsnp3
DTP_randsnp4_s10.ghatREL1,0.914773258878686,0.956437796659399,DTP,randsnp4
DTP_randsnp4_s11.ghatREL1,0.966205108986244,0.982957328161423,DTP,randsnp4
DTP_randsnp4_s12.ghatREL1,0.913769190022484,0.955912752306655,DTP,randsnp4
DTP_randsnp4_s1.ghatREL1,0.974919806288014,0.987380274406986,DTP,randsnp4
DTP_randsnp4_s2.ghatREL1,0.897580486849207,0.947407244456789,DTP,randsnp4
DTP_randsnp4_s3.ghatREL1,0.827262064222267,0.909539479199373,DTP,randsnp4
DTP_randsnp4_s4.ghatREL1,0.976499743350077,0.988180015660141,DTP,randsnp4
DTP_randsnp4_s5.ghatREL1,0.95929816718574,0.979437679071895,DTP,randsnp4
DTP_randsnp4_s6.ghatREL1,0.935268782861614,0.967092954612748,DTP,randsnp4
DTP_randsnp4_s7.ghatREL1,0.950183778879185,0.97477370649766,DTP,randsnp4
DTP_randsnp4_s8.ghatREL1,0.941342233300368,0.970227928530388,DTP,randsnp4
DTP_randsnp4_s9.ghatREL1,0.899880039429036,0.948620071171297,DTP,randsnp4
DTP_randsnp5_s10.ghatREL1,0.914839853071021,0.956472609681543,DTP,randsnp5
DTP_randsnp5_s11.ghatREL1,0.966235607445567,0.982972841662254,DTP,randsnp5
DTP_randsnp5_s12.ghatREL1,0.913649227704853,0.955850002722631,DTP,randsnp5
DTP_randsnp5_s1.ghatREL1,0.974870888013682,0.987355502346385,DTP,randsnp5
DTP_randsnp5_s2.ghatREL1,0.89768881775565,0.947464415033963,DTP,randsnp5
DTP_randsnp5_s3.ghatREL1,0.827246619211937,0.909530988593537,DTP,randsnp5
DTP_randsnp5_s4.ghatREL1,0.976532886397373,0.988196785259582,DTP,randsnp5
DTP_randsnp5_s5.ghatREL1,0.959311767720582,0.979444622079565,DTP,randsnp5
