file,genvar,resvar,totvar,h2,trait,transf,mode
asi_BPHmax_a2.out1,4.26847e-06,0.51912,0.519124,8.22246e-06,asi,BPHmax,a2
asi_BPHmax_d2.out1,1.28619e-05,0.518947,0.51896,2.4784e-05,asi,BPHmax,d2
asi_BPHmin_a2.out1,0.594038,0.216025,0.810063,0.733324,asi,BPHmin,a2
asi_BPHmin_d2.out1,2.1614e-06,0.833917,0.83392,2.59185e-06,asi,BPHmin,d2
asi_pBPHmax_a2.out1,5.16e-06,0.21923,0.219235,2.35364e-05,asi,pBPHmax,a2
asi_pBPHmax_d2.out1,3.31058e-06,0.219465,0.219469,1.50845e-05,asi,pBPHmax,d2
asi_pBPHmin_a2.out1,4.50649e-06,0.0673237,0.0673282,6.69331e-05,asi,pBPHmin,a2
asi_pBPHmin_d2.out1,1.82385e-06,0.067385,0.0673868,2.70653e-05,asi,pBPHmin,d2
asi_perse_a2.out1,0.028508,0.279472,0.30798,0.0925644,asi,perse,a2
asi_perse_d2.out1,2.63197e-05,0.319628,0.319654,8.2338e-05,asi,perse,d2
dtp_BPHmax_a2.out1,0.000265504,3.01665,3.01691,8.80053e-05,dtp,BPHmax,a2
dtp_BPHmax_d2.out1,0.00918969,2.7789,2.78809,0.00329605,dtp,BPHmax,d2
dtp_BPHmin_a2.out1,4.22066,0.250141,4.4708,0.94405,dtp,BPHmin,a2
dtp_BPHmin_d2.out1,0.193507,4.05902,4.25253,0.0455039,dtp,BPHmin,d2
dtp_pBPHmax_a2.out1,1.4607e-05,0.00640056,0.00641517,0.00227694,dtp,pBPHmax,a2
dtp_pBPHmax_d2.out1,8.28872e-06,0.006344,0.00635229,0.00130484,dtp,pBPHmax,d2
dtp_pBPHmin_a2.out1,1.45456e-05,0.00679447,0.00680902,0.00213623,dtp,pBPHmin,a2
dtp_pBPHmin_d2.out1,8.35523e-06,0.00673782,0.00674617,0.00123851,dtp,pBPHmin,d2
dtp_perse_a2.out1,5.27848,0.120027,5.39851,0.977767,dtp,perse,a2
dtp_perse_d2.out1,3.90497,1.33273,5.2377,0.745551,dtp,perse,d2
dts_BPHmax_a2.out1,0.026146,3.91617,3.94232,0.00663213,dts,BPHmax,a2
dts_BPHmax_d2.out1,0.496366,3.42704,3.9234,0.126514,dts,BPHmax,d2
dts_BPHmin_a2.out1,5.72386,0.182541,5.9064,0.969094,dts,BPHmin,a2
dts_BPHmin_d2.out1,0.00860444,5.66676,5.67537,0.0015161,dts,BPHmin,d2
dts_pBPHmax_a2.out1,1.57512e-05,0.00656022,0.00657597,0.00239527,dts,pBPHmax,a2
dts_pBPHmax_d2.out1,9.402e-06,0.00648048,0.00648989,0.00144872,dts,pBPHmax,d2
