file,R2,r,trait,mode,cv,sp
asi_1a2_cv1_sp10.ghatREL1,0.285721335454018,0.534529078211857,asi,1a2,cv1,sp10.ghatREL1
asi_1a2_cv1_sp1.ghatREL1,0.316950747881252,0.562983790069707,asi,1a2,cv1,sp1.ghatREL1
asi_1a2_cv1_sp2.ghatREL1,0.482577495443203,0.694677979673462,asi,1a2,cv1,sp2.ghatREL1
asi_1a2_cv1_sp3.ghatREL1,0.225489322295096,0.474857159886103,asi,1a2,cv1,sp3.ghatREL1
asi_1a2_cv1_sp4.ghatREL1,0.36880356112114,0.607291990002454,asi,1a2,cv1,sp4.ghatREL1
asi_1a2_cv1_sp5.ghatREL1,0.273325649309101,0.52280555592792,asi,1a2,cv1,sp5.ghatREL1
asi_1a2_cv1_sp6.ghatREL1,0.296179160506288,0.544223447222084,asi,1a2,cv1,sp6.ghatREL1
asi_1a2_cv1_sp7.ghatREL1,0.101938867101125,0.319278666843128,asi,1a2,cv1,sp7.ghatREL1
asi_1a2_cv1_sp8.ghatREL1,0.55021800156343,0.741766810772381,asi,1a2,cv1,sp8.ghatREL1
asi_1a2_cv1_sp9.ghatREL1,0.206399887048386,0.454312543353566,asi,1a2,cv1,sp9.ghatREL1
asi_1a2_cv2_sp10.ghatREL1,0.143716158012263,0.379099140083782,asi,1a2,cv2,sp10.ghatREL1
asi_1a2_cv2_sp1.ghatREL1,0.352847572737785,0.594009741281896,asi,1a2,cv2,sp1.ghatREL1
asi_1a2_cv2_sp2.ghatREL1,0.341968668944676,0.584780872587909,asi,1a2,cv2,sp2.ghatREL1
asi_1a2_cv2_sp3.ghatREL1,0.201673427654121,0.449080647160531,asi,1a2,cv2,sp3.ghatREL1
asi_1a2_cv2_sp4.ghatREL1,0.0785304520269546,0.280232853225589,asi,1a2,cv2,sp4.ghatREL1
asi_1a2_cv2_sp5.ghatREL1,0.290107165172012,0.538615971887218,asi,1a2,cv2,sp5.ghatREL1
asi_1a2_cv2_sp6.ghatREL1,0.215281332220217,0.463984193933604,asi,1a2,cv2,sp6.ghatREL1
asi_1a2_cv2_sp7.ghatREL1,0.56650743430049,0.752666881362858,asi,1a2,cv2,sp7.ghatREL1
asi_1a2_cv2_sp8.ghatREL1,0.189775946613844,0.435632811681862,asi,1a2,cv2,sp8.ghatREL1
asi_1a2_cv2_sp9.ghatREL1,0.183818825389527,0.4287409770357,asi,1a2,cv2,sp9.ghatREL1
asi_1a2_cv3_sp10.ghatREL1,0.271429467417642,0.520988932145053,asi,1a2,cv3,sp10.ghatREL1
asi_1a2_cv3_sp1.ghatREL1,0.166547679910081,0.408102536025054,asi,1a2,cv3,sp1.ghatREL1
asi_1a2_cv3_sp2.ghatREL1,0.278671506944556,0.527893461736889,asi,1a2,cv3,sp2.ghatREL1
asi_1a2_cv3_sp3.ghatREL1,0.536657656474631,0.732569216166384,asi,1a2,cv3,sp3.ghatREL1
asi_1a2_cv3_sp4.ghatREL1,0.172315188312379,0.41510864639559,asi,1a2,cv3,sp4.ghatREL1
asi_1a2_cv3_sp5.ghatREL1,0.48936528866545,0.699546487851558,asi,1a2,cv3,sp5.ghatREL1
asi_1a2_cv3_sp6.ghatREL1,0.223534182059267,0.472794016522277,asi,1a2,cv3,sp6.ghatREL1
asi_1a2_cv3_sp7.ghatREL1,0.60802778833523,0.779761366275112,asi,1a2,cv3,sp7.ghatREL1
asi_1a2_cv3_sp8.ghatREL1,0.505912905808782,0.711275548440112,asi,1a2,cv3,sp8.ghatREL1
asi_1a2_cv3_sp9.ghatREL1,0.508200689905031,0.712881960709507,asi,1a2,cv3,sp9.ghatREL1
asi_1a2_cv4_sp10.ghatREL1,0.124982815536949,0.353529087257256,asi,1a2,cv4,sp10.ghatREL1
asi_1a2_cv4_sp1.ghatREL1,0.373498888123932,0.611145553959065,asi,1a2,cv4,sp1.ghatREL1
asi_1a2_cv4_sp2.ghatREL1,0.102481958491195,0.320128034528679,asi,1a2,cv4,sp2.ghatREL1
asi_1a2_cv4_sp3.ghatREL1,0.430011773491663,0.655752829571984,asi,1a2,cv4,sp3.ghatREL1
