file,R2,r,trait,cs,mode,cv,sp,type
asi_real_a1_cv1_sp10.ghatREL1,0.604838495092225,0.777713633088829,asi,real,a1,cv1,sp10.ghatREL1,real
asi_real_a1_cv1_sp1.ghatREL2,0.61509626328641,0.784280729896132,asi,real,a1,cv1,sp1.ghatREL2,real
asi_real_a1_cv1_sp2.ghatREL1,0.363197818057941,0.602658956672794,asi,real,a1,cv1,sp2.ghatREL1,real
asi_real_a1_cv1_sp3.ghatREL1,0.121982046467238,0.349259282578485,asi,real,a1,cv1,sp3.ghatREL1,real
asi_real_a1_cv1_sp4.ghatREL1,0.210898774036608,0.459237165347719,asi,real,a1,cv1,sp4.ghatREL1,real
asi_real_a1_cv1_sp5.ghatREL1,0.469070020333879,0.684886866813694,asi,real,a1,cv1,sp5.ghatREL1,real
asi_real_a1_cv1_sp6.ghatREL1,0.653228808023388,0.808225716012172,asi,real,a1,cv1,sp6.ghatREL1,real
asi_real_a1_cv1_sp7.ghatREL1,0.357962071614694,0.598299316074065,asi,real,a1,cv1,sp7.ghatREL1,real
asi_real_a1_cv1_sp8.ghatREL1,0.625414756731224,0.790831686726843,asi,real,a1,cv1,sp8.ghatREL1,real
asi_real_a1_cv1_sp9.ghatREL1,0.498237207028374,0.705859197735904,asi,real,a1,cv1,sp9.ghatREL1,real
asi_real_a1_cv2_sp10.ghatREL1,0.421187418629438,0.648989536610135,asi,real,a1,cv2,sp10.ghatREL1,real
asi_real_a1_cv2_sp1.ghatREL1,0.386914006535348,0.622024120541437,asi,real,a1,cv2,sp1.ghatREL1,real
asi_real_a1_cv2_sp2.ghatREL1,0.685341462611947,0.827853527269134,asi,real,a1,cv2,sp2.ghatREL1,real
asi_real_a1_cv2_sp3.ghatREL1,0.775244585796537,0.880479747522075,asi,real,a1,cv2,sp3.ghatREL1,real
asi_real_a1_cv2_sp4.ghatREL1,0.49282500484471,0.702014960556191,asi,real,a1,cv2,sp4.ghatREL1,real
asi_real_a1_cv2_sp5.ghatREL1,0.72198907931503,0.849699405269317,asi,real,a1,cv2,sp5.ghatREL1,real
asi_real_a1_cv2_sp6.ghatREL1,0.416523111183642,0.645386017189435,asi,real,a1,cv2,sp6.ghatREL1,real
asi_real_a1_cv2_sp7.ghatREL1,0.258863704806432,0.508786502185771,asi,real,a1,cv2,sp7.ghatREL1,real
asi_real_a1_cv2_sp8.ghatREL1,0.60364387452387,0.776945219770268,asi,real,a1,cv2,sp8.ghatREL1,real
asi_real_a1_cv2_sp9.ghatREL1,0.487087392806492,0.697916465493179,asi,real,a1,cv2,sp9.ghatREL1,real
asi_real_a1_cv3_sp10.ghatREL1,0.42915166010303,0.655096679966423,asi,real,a1,cv3,sp10.ghatREL1,real
asi_real_a1_cv3_sp1.ghatREL1,0.403632557713223,0.635320830536213,asi,real,a1,cv3,sp1.ghatREL1,real
asi_real_a1_cv3_sp2.ghatREL1,0.653766161297549,0.808558075401853,asi,real,a1,cv3,sp2.ghatREL1,real
asi_real_a1_cv3_sp3.ghatREL1,0.0858091771600916,0.292932035052658,asi,real,a1,cv3,sp3.ghatREL1,real
asi_real_a1_cv3_sp4.ghatREL1,0.249693512457668,0.49969341846543,asi,real,a1,cv3,sp4.ghatREL1,real
