file,R2,r,trait,cs,mode,sp,cv
asi_cs0_a2_sp10_cv1.ghatREL1,0.480978399368091,0.693526062500964,asi,cs0,a2,sp10,cv1.ghatREL1
asi_cs0_a2_sp10_cv2.ghatREL1,0.822546380097323,0.906943427175765,asi,cs0,a2,sp10,cv2.ghatREL1
asi_cs0_a2_sp10_cv3.ghatREL1,0.837436666600354,0.915115657499288,asi,cs0,a2,sp10,cv3.ghatREL1
asi_cs0_a2_sp10_cv4.ghatREL1,0.435995031609665,0.660299198552947,asi,cs0,a2,sp10,cv4.ghatREL1
asi_cs0_a2_sp10_cv5.ghatREL1,0.390269328243079,0.624715397795731,asi,cs0,a2,sp10,cv5.ghatREL1
asi_cs0_a2_sp1_cv1.ghatREL1,0.599889718232296,0.774525479395156,asi,cs0,a2,sp1,cv1.ghatREL1
asi_cs0_a2_sp1_cv2.ghatREL1,0.244509020347349,0.494478533757886,asi,cs0,a2,sp1,cv2.ghatREL1
asi_cs0_a2_sp1_cv3.ghatREL1,0.757656587363423,0.8704347117179,asi,cs0,a2,sp1,cv3.ghatREL1
asi_cs0_a2_sp1_cv4.ghatREL1,0.681080642767273,0.825276100930636,asi,cs0,a2,sp1,cv4.ghatREL1
asi_cs0_a2_sp1_cv5.ghatREL1,0.358083914101586,0.598401131434079,asi,cs0,a2,sp1,cv5.ghatREL1
asi_cs0_a2_sp2_cv1.ghatREL1,0.561760919228418,0.749507117530193,asi,cs0,a2,sp2,cv1.ghatREL1
asi_cs0_a2_sp2_cv2.ghatREL1,0.520738512138675,0.721622139446036,asi,cs0,a2,sp2,cv2.ghatREL1
asi_cs0_a2_sp2_cv3.ghatREL1,0.284036831388097,0.532951059092762,asi,cs0,a2,sp2,cv3.ghatREL1
asi_cs0_a2_sp2_cv4.ghatREL1,0.397633241718206,0.630581669348393,asi,cs0,a2,sp2,cv4.ghatREL1
asi_cs0_a2_sp2_cv5.ghatREL1,0.54936064432401,0.741188669856744,asi,cs0,a2,sp2,cv5.ghatREL1
asi_cs0_a2_sp3_cv1.ghatREL1,0.754640391705383,0.868700403882364,asi,cs0,a2,sp3,cv1.ghatREL1
asi_cs0_a2_sp3_cv2.ghatREL1,0.351100505697514,0.592537345403236,asi,cs0,a2,sp3,cv2.ghatREL1
asi_cs0_a2_sp3_cv3.ghatREL1,0.601878323297234,0.775808174291322,asi,cs0,a2,sp3,cv3.ghatREL1
asi_cs0_a2_sp3_cv4.ghatREL1,0.395380152487633,0.628792614848197,asi,cs0,a2,sp3,cv4.ghatREL1
asi_cs0_a2_sp3_cv5.ghatREL1,0.450707106622996,0.671347232527994,asi,cs0,a2,sp3,cv5.ghatREL1
asi_cs0_a2_sp4_cv1.ghatREL1,0.758609145350926,0.870981713557137,asi,cs0,a2,sp4,cv1.ghatREL1
asi_cs0_a2_sp4_cv2.ghatREL1,0.372946253066614,0.610693256116861,asi,cs0,a2,sp4,cv2.ghatREL1
asi_cs0_a2_sp4_cv3.ghatREL1,0.255983397701401,0.505948018774064,asi,cs0,a2,sp4,cv3.ghatREL1
asi_cs0_a2_sp4_cv4.ghatREL1,0.531359764772643,0.728944280979447,asi,cs0,a2,sp4,cv4.ghatREL1
asi_cs0_a2_sp4_cv5.ghatREL1,0.674546096764078,0.821307553090849,asi,cs0,a2,sp4,cv5.ghatREL1
asi_cs0_a2_sp5_cv1.ghatREL1,0.593676021179867,0.770503745078417,asi,cs0,a2,sp5,cv1.ghatREL1
asi_cs0_a2_sp5_cv2.ghatREL1,0.872389193870503,0.934017769568922,asi,cs0,a2,sp5,cv2.ghatREL1
asi_cs0_a2_sp5_cv3.ghatREL1,0.754621450456214,0.868689501753195,asi,cs0,a2,sp5,cv3.ghatREL1
asi_cs0_a2_sp5_cv4.ghatREL1,0.340916639307555,0.583880672147619,asi,cs0,a2,sp5,cv4.ghatREL1
asi_cs0_a2_sp5_cv5.ghatREL1,0.41888509440427,0.647213329903109,asi,cs0,a2,sp5,cv5.ghatREL1
asi_cs0_a2_sp6_cv1.ghatREL1,0.528253889273413,0.726810765793555,asi,cs0,a2,sp6,cv1.ghatREL1
asi_cs0_a2_sp6_cv2.ghatREL1,0.390844760846117,0.625175783956894,asi,cs0,a2,sp6,cv2.ghatREL1
asi_cs0_a2_sp6_cv3.ghatREL1,0.905193683907586,0.951416672077795,asi,cs0,a2,sp6,cv3.ghatREL1
asi_cs0_a2_sp6_cv4.ghatREL1,0.399490343595592,0.632052484842511,asi,cs0,a2,sp6,cv4.ghatREL1
asi_cs0_a2_sp6_cv5.ghatREL1,0.409373002569096,0.63982263367991,asi,cs0,a2,sp6,cv5.ghatREL1
asi_cs0_a2_sp7_cv1.ghatREL1,0.383188696342025,0.61902237143905,asi,cs0,a2,sp7,cv1.ghatREL1
asi_cs0_a2_sp7_cv2.ghatREL1,0.567175862270836,0.753110790170235,asi,cs0,a2,sp7,cv2.ghatREL1
asi_cs0_a2_sp7_cv3.ghatREL1,0.506965613168722,0.712015177625254,asi,cs0,a2,sp7,cv3.ghatREL1
asi_cs0_a2_sp7_cv4.ghatREL1,0.515149101799716,0.717738881348723,asi,cs0,a2,sp7,cv4.ghatREL1
asi_cs0_a2_sp7_cv5.ghatREL1,0.593047130674967,0.770095533472936,asi,cs0,a2,sp7,cv5.ghatREL1
asi_cs0_a2_sp8_cv1.ghatREL1,0.318152185670768,0.564049807792511,asi,cs0,a2,sp8,cv1.ghatREL1
asi_cs0_a2_sp8_cv2.ghatREL1,0.487715309643479,0.698366171605898,asi,cs0,a2,sp8,cv2.ghatREL1
asi_cs0_a2_sp8_cv3.ghatREL1,0.490229301528728,0.700163767649203,asi,cs0,a2,sp8,cv3.ghatREL1
asi_cs0_a2_sp8_cv4.ghatREL1,0.668595493057751,0.81767688793175,asi,cs0,a2,sp8,cv4.ghatREL1
asi_cs0_a2_sp8_cv5.ghatREL1,0.567862236901463,0.753566345388024,asi,cs0,a2,sp8,cv5.ghatREL1
asi_cs0_a2_sp9_cv1.ghatREL1,0.362752574829203,0.602289444394639,asi,cs0,a2,sp9,cv1.ghatREL1
asi_cs0_a2_sp9_cv2.ghatREL1,0.677935280945298,0.823368253544729,asi,cs0,a2,sp9,cv2.ghatREL1
