file,R2,r,trait,cs,mode,sp,cv
asi_cs0_a2_sp10_cv1.ghatREL1,0.429707939533109,0.655521120585073,asi,cs0,a2,sp10,cv1.ghatREL1
asi_cs0_a2_sp10_cv2.ghatREL1,0.280322406684657,0.52945482024877,asi,cs0,a2,sp10,cv2.ghatREL1
asi_cs0_a2_sp10_cv3.ghatREL1,0.3268489888519,0.571707083087047,asi,cs0,a2,sp10,cv3.ghatREL1
asi_cs0_a2_sp10_cv4.ghatREL1,0.761381977324186,0.872572047067854,asi,cs0,a2,sp10,cv4.ghatREL1
asi_cs0_a2_sp10_cv5.ghatREL1,0.213535944414435,0.462099496228285,asi,cs0,a2,sp10,cv5.ghatREL1
asi_cs0_a2_sp1_cv1.ghatREL1,0.589661450819823,0.767894166418669,asi,cs0,a2,sp1,cv1.ghatREL1
asi_cs0_a2_sp1_cv2.ghatREL1,0.180555421378921,0.424918134914151,asi,cs0,a2,sp1,cv2.ghatREL1
asi_cs0_a2_sp1_cv3.ghatREL1,0.389756859457562,0.624305101258641,asi,cs0,a2,sp1,cv3.ghatREL1
asi_cs0_a2_sp1_cv4.ghatREL1,0.566324317892987,0.752545226476779,asi,cs0,a2,sp1,cv4.ghatREL1
asi_cs0_a2_sp1_cv5.ghatREL1,0.4032071521724,0.634985946436927,asi,cs0,a2,sp1,cv5.ghatREL1
asi_cs0_a2_sp2_cv1.ghatREL1,0.293204155113958,0.541483291629536,asi,cs0,a2,sp2,cv1.ghatREL1
asi_cs0_a2_sp2_cv2.ghatREL1,0.658807569676711,0.811669618549759,asi,cs0,a2,sp2,cv2.ghatREL1
asi_cs0_a2_sp2_cv3.ghatREL1,0.711275138849082,0.843371293588466,asi,cs0,a2,sp2,cv3.ghatREL1
asi_cs0_a2_sp2_cv4.ghatREL1,0.11479415180841,0.338812856616171,asi,cs0,a2,sp2,cv4.ghatREL1
asi_cs0_a2_sp2_cv5.ghatREL1,0.796029162431017,0.892204663981879,asi,cs0,a2,sp2,cv5.ghatREL1
asi_cs0_a2_sp3_cv1.ghatREL1,0.212899785354201,0.46141064720507,asi,cs0,a2,sp3,cv1.ghatREL1
asi_cs0_a2_sp3_cv2.ghatREL1,0.641931491627466,0.801206272833323,asi,cs0,a2,sp3,cv2.ghatREL1
asi_cs0_a2_sp3_cv3.ghatREL1,0.102822886081399,0.320660078714827,asi,cs0,a2,sp3,cv3.ghatREL1
asi_cs0_a2_sp3_cv4.ghatREL1,0.162485015017509,0.403094300403155,asi,cs0,a2,sp3,cv4.ghatREL1
asi_cs0_a2_sp3_cv5.ghatREL1,0.52467176384653,0.724342297430248,asi,cs0,a2,sp3,cv5.ghatREL1
asi_cs0_a2_sp4_cv1.ghatREL1,0.241150670351457,0.491070942279684,asi,cs0,a2,sp4,cv1.ghatREL1
asi_cs0_a2_sp4_cv2.ghatREL1,0.535934882649378,0.732075735596651,asi,cs0,a2,sp4,cv2.ghatREL1
asi_cs0_a2_sp4_cv3.ghatREL1,0.141283358740791,0.375876786647954,asi,cs0,a2,sp4,cv3.ghatREL1
asi_cs0_a2_sp4_cv4.ghatREL1,0.499873208565515,0.707017120418958,asi,cs0,a2,sp4,cv4.ghatREL1
asi_cs0_a2_sp4_cv5.ghatREL1,0.705294312136181,0.839818023226568,asi,cs0,a2,sp4,cv5.ghatREL1
asi_cs0_a2_sp5_cv1.ghatREL1,0.412844312262985,0.642529619755374,asi,cs0,a2,sp5,cv1.ghatREL1
asi_cs0_a2_sp5_cv2.ghatREL1,0.675856812893476,0.822105110611457,asi,cs0,a2,sp5,cv2.ghatREL1
asi_cs0_a2_sp5_cv3.ghatREL1,0.345290868913083,0.587614558118741,asi,cs0,a2,sp5,cv3.ghatREL1
asi_cs0_a2_sp5_cv4.ghatREL1,0.447353500740616,0.668844900362271,asi,cs0,a2,sp5,cv4.ghatREL1
asi_cs0_a2_sp5_cv5.ghatREL1,0.226454974583616,0.475872855480975,asi,cs0,a2,sp5,cv5.ghatREL1
asi_cs0_a2_sp6_cv1.ghatREL1,0.652975529237282,0.808069012669885,asi,cs0,a2,sp6,cv1.ghatREL1
asi_cs0_a2_sp6_cv2.ghatREL1,0.442256249048564,0.665023495110183,asi,cs0,a2,sp6,cv2.ghatREL1
asi_cs0_a2_sp6_cv3.ghatREL1,0.686568527580266,0.828594308199293,asi,cs0,a2,sp6,cv3.ghatREL1
asi_cs0_a2_sp6_cv4.ghatREL1,0.655103207048275,0.809384461827799,asi,cs0,a2,sp6,cv4.ghatREL1
asi_cs0_a2_sp6_cv5.ghatREL1,0.226309352790147,0.475719825937649,asi,cs0,a2,sp6,cv5.ghatREL1
asi_cs0_a2_sp7_cv1.ghatREL1,0.381497125921678,0.617654536065006,asi,cs0,a2,sp7,cv1.ghatREL1
asi_cs0_a2_sp7_cv2.ghatREL1,0.18417275948574,0.42915353835864,asi,cs0,a2,sp7,cv2.ghatREL1
asi_cs0_a2_sp7_cv3.ghatREL1,0.52235881829997,0.722743950718351,asi,cs0,a2,sp7,cv3.ghatREL1
asi_cs0_a2_sp7_cv4.ghatREL1,0.529978975551012,0.727996549133999,asi,cs0,a2,sp7,cv4.ghatREL1
asi_cs0_a2_sp7_cv5.ghatREL1,0.481642392672939,0.694004605656864,asi,cs0,a2,sp7,cv5.ghatREL1
asi_cs0_a2_sp8_cv1.ghatREL1,0.302198838409026,0.549726148558558,asi,cs0,a2,sp8,cv1.ghatREL1
asi_cs0_a2_sp8_cv2.ghatREL1,0.644700642625969,0.802932526820261,asi,cs0,a2,sp8,cv2.ghatREL1
asi_cs0_a2_sp8_cv3.ghatREL1,0.031385576537763,0.1771597486388,asi,cs0,a2,sp8,cv3.ghatREL1
asi_cs0_a2_sp8_cv4.ghatREL1,0.270909636095453,0.520489804026412,asi,cs0,a2,sp8,cv4.ghatREL1
asi_cs0_a2_sp8_cv5.ghatREL1,0.367604400694806,0.606303884776278,asi,cs0,a2,sp8,cv5.ghatREL1
asi_cs0_a2_sp9_cv1.ghatREL1,0.437131608274209,0.66115929115018,asi,cs0,a2,sp9,cv1.ghatREL1
asi_cs0_a2_sp9_cv2.ghatREL1,0.456204771650065,0.675429323948898,asi,cs0,a2,sp9,cv2.ghatREL1
asi_cs0_a2_sp9_cv3.ghatREL1,0.831909367741916,0.912090657633284,asi,cs0,a2,sp9,cv3.ghatREL1
asi_cs0_a2_sp9_cv4.ghatREL1,0.478934775448502,0.692051136440438,asi,cs0,a2,sp9,cv4.ghatREL1
asi_cs0_a2_sp9_cv5.ghatREL1,0.142316971587129,0.377249216814467,asi,cs0,a2,sp9,cv5.ghatREL1
asi_cs0_d2_sp10_cv1.ghatREL1,0.53009188970655,0.728074096302395,asi,cs0,d2,sp10,cv1.ghatREL1
asi_cs0_d2_sp10_cv2.ghatREL1,0.503519027186561,0.709590746266157,asi,cs0,d2,sp10,cv2.ghatREL1
asi_cs0_d2_sp10_cv3.ghatREL1,0.295702450825075,0.543785298463534,asi,cs0,d2,sp10,cv3.ghatREL1
asi_cs0_d2_sp10_cv4.ghatREL1,0.581458397832259,0.76253419453311,asi,cs0,d2,sp10,cv4.ghatREL1
asi_cs0_d2_sp10_cv5.ghatREL1,0.159081645237403,0.39885040458473,asi,cs0,d2,sp10,cv5.ghatREL1
asi_cs0_d2_sp1_cv1.ghatREL1,0.543731530070872,0.737381536296422,asi,cs0,d2,sp1,cv1.ghatREL1
asi_cs0_d2_sp1_cv2.ghatREL1,0.249121239086072,0.499120465505144,asi,cs0,d2,sp1,cv2.ghatREL1
asi_cs0_d2_sp1_cv3.ghatREL1,0.428085061164898,0.654282096014325,asi,cs0,d2,sp1,cv3.ghatREL1
asi_cs0_d2_sp1_cv4.ghatREL1,0.549132307692027,0.741034619766193,asi,cs0,d2,sp1,cv4.ghatREL1
asi_cs0_d2_sp1_cv5.ghatREL1,0.206168486012183,0.454057800298798,asi,cs0,d2,sp1,cv5.ghatREL1
asi_cs0_d2_sp2_cv1.ghatREL1,0.383399959546319,0.619192990550053,asi,cs0,d2,sp2,cv1.ghatREL1
asi_cs0_d2_sp2_cv2.ghatREL1,0.500251553742393,0.707284634176647,asi,cs0,d2,sp2,cv2.ghatREL1
asi_cs0_d2_sp2_cv3.ghatREL1,0.78467808887677,0.885820573748866,asi,cs0,d2,sp2,cv3.ghatREL1
asi_cs0_d2_sp2_cv4.ghatREL1,0.00962715194708629,0.0981180510766816,asi,cs0,d2,sp2,cv4.ghatREL1
asi_cs0_d2_sp2_cv5.ghatREL1,0.651950492289404,0.807434512694004,asi,cs0,d2,sp2,cv5.ghatREL1
asi_cs0_d2_sp3_cv1.ghatREL1,0.135345177831332,0.36789288907416,asi,cs0,d2,sp3,cv1.ghatREL1
asi_cs0_d2_sp3_cv2.ghatREL1,0.863826423474242,0.929422629095204,asi,cs0,d2,sp3,cv2.ghatREL1
asi_cs0_d2_sp3_cv3.ghatREL1,0.14826883551732,0.385056925034883,asi,cs0,d2,sp3,cv3.ghatREL1
asi_cs0_d2_sp3_cv4.ghatREL1,0.142741231621723,0.377811105741643,asi,cs0,d2,sp3,cv4.ghatREL1
asi_cs0_d2_sp3_cv5.ghatREL1,0.756556212808925,0.86980239871417,asi,cs0,d2,sp3,cv5.ghatREL1
asi_cs0_d2_sp4_cv1.ghatREL1,0.0532363334065099,0.230730001097625,asi,cs0,d2,sp4,cv1.ghatREL1
asi_cs0_d2_sp4_cv2.ghatREL1,0.40088776362448,0.633156981817684,asi,cs0,d2,sp4,cv2.ghatREL1
asi_cs0_d2_sp4_cv3.ghatREL1,0.249566158631931,0.499565970250107,asi,cs0,d2,sp4,cv3.ghatREL1
asi_cs0_d2_sp4_cv4.ghatREL1,0.715686272233452,0.845982430215576,asi,cs0,d2,sp4,cv4.ghatREL1
asi_cs0_d2_sp4_cv5.ghatREL1,0.577122539380531,0.759685816229664,asi,cs0,d2,sp4,cv5.ghatREL1
asi_cs0_d2_sp5_cv1.ghatREL1,0.473243150572173,0.687926704360408,asi,cs0,d2,sp5,cv1.ghatREL1
asi_cs0_d2_sp5_cv2.ghatREL1,0.367194285932527,0.605965581475158,asi,cs0,d2,sp5,cv2.ghatREL1
