file,R2,r,trait,cs,mode,sp,cv
asi_cs0_a2_sp10_cv1.ghatREL1,0.154039085371303,0.392478133621866,asi,cs0,a2,sp10,cv1.ghatREL1
asi_cs0_a2_sp10_cv2.ghatREL1,0.000271546626790436,-0.0164786718758047,asi,cs0,a2,sp10,cv2.ghatREL1
asi_cs0_a2_sp10_cv3.ghatREL1,0.166243494140525,0.407729682682687,asi,cs0,a2,sp10,cv3.ghatREL1
asi_cs0_a2_sp10_cv4.ghatREL1,0.0119074226721051,-0.109121137604522,asi,cs0,a2,sp10,cv4.ghatREL1
asi_cs0_a2_sp10_cv5.ghatREL1,0.0201660301739862,-0.142007148320027,asi,cs0,a2,sp10,cv5.ghatREL1
asi_cs0_a2_sp1_cv1.ghatREL1,0.0252108333801074,0.158779196937469,asi,cs0,a2,sp1,cv1.ghatREL1
asi_cs0_a2_sp1_cv2.ghatREL1,0.0845121264530831,0.290709694460097,asi,cs0,a2,sp1,cv2.ghatREL1
asi_cs0_a2_sp1_cv3.ghatREL1,0.0891522504917968,0.298583741171211,asi,cs0,a2,sp1,cv3.ghatREL1
asi_cs0_a2_sp1_cv4.ghatREL1,0.0497867540879914,0.223129455894984,asi,cs0,a2,sp1,cv4.ghatREL1
asi_cs0_a2_sp1_cv5.ghatREL1,0.00323337525602746,-0.0568627756623563,asi,cs0,a2,sp1,cv5.ghatREL1
asi_cs0_a2_sp2_cv1.ghatREL1,0.0700853407680797,0.264736360872623,asi,cs0,a2,sp2,cv1.ghatREL1
asi_cs0_a2_sp2_cv2.ghatREL1,0.397404027095816,0.630399894587409,asi,cs0,a2,sp2,cv2.ghatREL1
asi_cs0_a2_sp2_cv3.ghatREL1,0.0102790398809786,0.101385599968529,asi,cs0,a2,sp2,cv3.ghatREL1
asi_cs0_a2_sp2_cv4.ghatREL1,0.183990765139327,-0.4289414472155,asi,cs0,a2,sp2,cv4.ghatREL1
asi_cs0_a2_sp2_cv5.ghatREL1,0.392442399711072,0.626452232585272,asi,cs0,a2,sp2,cv5.ghatREL1
asi_cs0_a2_sp3_cv1.ghatREL1,0.0835268480678616,0.289010117587363,asi,cs0,a2,sp3,cv1.ghatREL1
asi_cs0_a2_sp3_cv2.ghatREL1,0.0428948517408875,0.207110723384588,asi,cs0,a2,sp3,cv2.ghatREL1
asi_cs0_a2_sp3_cv3.ghatREL1,0.0865102057068563,0.294126173107489,asi,cs0,a2,sp3,cv3.ghatREL1
asi_cs0_a2_sp3_cv4.ghatREL1,0.0983018328731647,0.313531231096943,asi,cs0,a2,sp3,cv4.ghatREL1
asi_cs0_a2_sp3_cv5.ghatREL1,0.0030377131311234,0.0551154527435219,asi,cs0,a2,sp3,cv5.ghatREL1
asi_cs0_a2_sp4_cv1.ghatREL1,0.27479144295982,0.524205535033559,asi,cs0,a2,sp4,cv1.ghatREL1
asi_cs0_a2_sp4_cv2.ghatREL1,0.0937439932249775,-0.306176408668234,asi,cs0,a2,sp4,cv2.ghatREL1
asi_cs0_a2_sp4_cv3.ghatREL1,7.21699366949346e-05,-0.00849528908836742,asi,cs0,a2,sp4,cv3.ghatREL1
asi_cs0_a2_sp4_cv4.ghatREL1,0.109909983297254,0.331526745975727,asi,cs0,a2,sp4,cv4.ghatREL1
asi_cs0_a2_sp4_cv5.ghatREL1,0.102611864458362,0.320330867164502,asi,cs0,a2,sp4,cv5.ghatREL1
asi_cs0_a2_sp5_cv1.ghatREL1,0.0124624239490575,-0.111635227186841,asi,cs0,a2,sp5,cv1.ghatREL1
asi_cs0_a2_sp5_cv2.ghatREL1,0.296212463159099,0.544254042850486,asi,cs0,a2,sp5,cv2.ghatREL1
asi_cs0_a2_sp5_cv3.ghatREL1,0.201257651669598,0.448617489259612,asi,cs0,a2,sp5,cv3.ghatREL1
asi_cs0_a2_sp5_cv4.ghatREL1,0.158959831863235,0.398697669748941,asi,cs0,a2,sp5,cv4.ghatREL1
