file,R2,r,trait,cs,mode,cv,sp,type
asi_real_a2_cv1_sp10.ghatREL1,0.21113349856779,0.459492653442675,asi,real,a2,cv1,sp10.ghatREL1,real
asi_real_a2_cv1_sp1.ghatREL1,0.00161630914301867,0.0402033474106159,asi,real,a2,cv1,sp1.ghatREL1,real
asi_real_a2_cv1_sp2.ghatREL1,0.384108588931376,0.619764946517126,asi,real,a2,cv1,sp2.ghatREL1,real
asi_real_a2_cv1_sp3.ghatREL1,0.0459285165337168,-0.214309394413117,asi,real,a2,cv1,sp3.ghatREL1,real
asi_real_a2_cv1_sp4.ghatREL1,0.1102586181327,0.332052131649084,asi,real,a2,cv1,sp4.ghatREL1,real
asi_real_a2_cv1_sp5.ghatREL1,0.241802437465179,0.491734112570176,asi,real,a2,cv1,sp5.ghatREL1,real
asi_real_a2_cv1_sp6.ghatREL1,0.292525897834979,0.540856633346564,asi,real,a2,cv1,sp6.ghatREL1,real
asi_real_a2_cv1_sp7.ghatREL1,0.00754852614966695,0.0868822545153321,asi,real,a2,cv1,sp7.ghatREL1,real
asi_real_a2_cv1_sp8.ghatREL1,0.509529770864772,0.713813540684661,asi,real,a2,cv1,sp8.ghatREL1,real
asi_real_a2_cv1_sp9.ghatREL1,0.337996966927761,0.581375065622668,asi,real,a2,cv1,sp9.ghatREL1,real
asi_real_a2_cv2_sp10.ghatREL1,0.0238312760603539,0.154373819219302,asi,real,a2,cv2,sp10.ghatREL1,real
asi_real_a2_cv2_sp1.ghatREL1,0.109255569759648,0.330538303014414,asi,real,a2,cv2,sp1.ghatREL1,real
asi_real_a2_cv2_sp2.ghatREL1,0.00376586031006897,0.0613666058216435,asi,real,a2,cv2,sp2.ghatREL1,real
asi_real_a2_cv2_sp3.ghatREL1,0.109153668252598,0.330384122276779,asi,real,a2,cv2,sp3.ghatREL1,real
asi_real_a2_cv2_sp4.ghatREL1,0.00325294458769263,-0.0570345911503943,asi,real,a2,cv2,sp4.ghatREL1,real
asi_real_a2_cv2_sp5.ghatREL1,0.252298534684703,0.502293275571854,asi,real,a2,cv2,sp5.ghatREL1,real
asi_real_a2_cv2_sp6.ghatREL1,0.429274915808868,0.655190747652062,asi,real,a2,cv2,sp6.ghatREL1,real
asi_real_a2_cv2_sp7.ghatREL1,0.320425886282497,0.566061733632028,asi,real,a2,cv2,sp7.ghatREL1,real
asi_real_a2_cv2_sp8.ghatREL1,0.000314933363232402,0.0177463619717508,asi,real,a2,cv2,sp8.ghatREL1,real
asi_real_a2_cv2_sp9.ghatREL1,0.131410771422165,0.362506236390721,asi,real,a2,cv2,sp9.ghatREL1,real
asi_real_a2_cv3_sp10.ghatREL1,0.0373829571388382,-0.193346727768634,asi,real,a2,cv3,sp10.ghatREL1,real
asi_real_a2_cv3_sp1.ghatREL1,0.171184921564721,0.413744995818343,asi,real,a2,cv3,sp1.ghatREL1,real
asi_real_a2_cv3_sp2.ghatREL1,1.98111301112514e-08,-0.000140752016366557,asi,real,a2,cv3,sp2.ghatREL1,real
asi_real_a2_cv3_sp3.ghatREL1,0.338392252360346,0.581714923618387,asi,real,a2,cv3,sp3.ghatREL1,real
asi_real_a2_cv3_sp4.ghatREL1,0.000423987499576553,0.0205909567426225,asi,real,a2,cv3,sp4.ghatREL1,real
asi_real_a2_cv3_sp5.ghatREL1,0.556756578470287,0.746161228200908,asi,real,a2,cv3,sp5.ghatREL1,real
asi_real_a2_cv3_sp6.ghatREL1,0.371613157864403,0.609600818457786,asi,real,a2,cv3,sp6.ghatREL1,real
asi_real_a2_cv3_sp7.ghatREL1,0.0877384882134431,0.296206833502273,asi,real,a2,cv3,sp7.ghatREL1,real
asi_real_a2_cv3_sp8.ghatREL1,0.0875859729670542,0.29594927431412,asi,real,a2,cv3,sp8.ghatREL1,real
asi_real_a2_cv3_sp9.ghatREL1,0.0335130722718689,0.183065759419584,asi,real,a2,cv3,sp9.ghatREL1,real
asi_real_a2_cv4_sp10.ghatREL1,0.0959885275657575,0.309820153582296,asi,real,a2,cv4,sp10.ghatREL1,real
asi_real_a2_cv4_sp1.ghatREL1,0.0846819011572999,0.291001548376121,asi,real,a2,cv4,sp1.ghatREL1,real
asi_real_a2_cv4_sp2.ghatREL1,0.0575941170045796,0.239987743446576,asi,real,a2,cv4,sp2.ghatREL1,real
asi_real_a2_cv4_sp3.ghatREL1,0.350452016868059,0.591989879025021,asi,real,a2,cv4,sp3.ghatREL1,real
asi_real_a2_cv4_sp4.ghatREL1,0.0603203299724674,0.24560197469171,asi,real,a2,cv4,sp4.ghatREL1,real
