file,R2,r,trait,cs,mode,cv,sp,type
gy_real_a2_cv1_sp10.ghatREL1,0.637970067213096,0.798730284397115,gy,real,a2,cv1,sp10.ghatREL1,real
gy_real_a2_cv1_sp1.ghatREL1,0.227438656618972,0.476905291036881,gy,real,a2,cv1,sp1.ghatREL1,real
gy_real_a2_cv1_sp2.ghatREL1,0.169883819403351,0.412169648813873,gy,real,a2,cv1,sp2.ghatREL1,real
gy_real_a2_cv1_sp3.ghatREL1,0.146497515627476,0.382749938768742,gy,real,a2,cv1,sp3.ghatREL1,real
gy_real_a2_cv1_sp4.ghatREL1,0.506551857368028,0.711724565662889,gy,real,a2,cv1,sp4.ghatREL1,real
gy_real_a2_cv1_sp5.ghatREL1,0.86515747569847,0.930138417494122,gy,real,a2,cv1,sp5.ghatREL1,real
gy_real_a2_cv1_sp6.ghatREL1,0.637114525042065,0.798194540849576,gy,real,a2,cv1,sp6.ghatREL1,real
gy_real_a2_cv1_sp7.ghatREL1,0.552162884070658,0.743076634049717,gy,real,a2,cv1,sp7.ghatREL1,real
gy_real_a2_cv1_sp8.ghatREL1,0.325131153056526,0.570202729786982,gy,real,a2,cv1,sp8.ghatREL1,real
gy_real_a2_cv1_sp9.ghatREL1,0.282121866448411,0.531151453399509,gy,real,a2,cv1,sp9.ghatREL1,real
gy_real_a2_cv2_sp10.ghatREL1,0.261908014705646,0.511769493723147,gy,real,a2,cv2,sp10.ghatREL1,real
gy_real_a2_cv2_sp1.ghatREL1,0.21343916610763,0.461994768485131,gy,real,a2,cv2,sp1.ghatREL1,real
gy_real_a2_cv2_sp2.ghatREL1,0.700479793490163,0.836946708871099,gy,real,a2,cv2,sp2.ghatREL1,real
gy_real_a2_cv2_sp3.ghatREL1,0.735289410902278,0.857490181227912,gy,real,a2,cv2,sp3.ghatREL1,real
gy_real_a2_cv2_sp4.ghatREL1,0.146588854630412,0.38286923959808,gy,real,a2,cv2,sp4.ghatREL1,real
gy_real_a2_cv2_sp5.ghatREL1,0.418965582276369,0.647275507242757,gy,real,a2,cv2,sp5.ghatREL1,real
gy_real_a2_cv2_sp6.ghatREL1,0.198899758378817,0.445981791532813,gy,real,a2,cv2,sp6.ghatREL1,real
gy_real_a2_cv2_sp7.ghatREL1,0.100033236306866,0.316280312866397,gy,real,a2,cv2,sp7.ghatREL1,real
gy_real_a2_cv2_sp8.ghatREL1,0.301203366453108,0.5488199763612,gy,real,a2,cv2,sp8.ghatREL1,real
gy_real_a2_cv2_sp9.ghatREL1,0.112471752936848,0.335368085745868,gy,real,a2,cv2,sp9.ghatREL1,real
