file,R2,r,trait,cs,mode,cv,sp,type
gy_real_a2_cv1_sp10.ghatREL1,0.63033247607265,0.793934805933491,gy,real,a2,cv1,sp10.ghatREL1,real
gy_real_a2_cv1_sp1.ghatREL1,0.228991655957775,0.478530726242083,gy,real,a2,cv1,sp1.ghatREL1,real
gy_real_a2_cv1_sp2.ghatREL1,0.17959928224346,0.42379155518186,gy,real,a2,cv1,sp2.ghatREL1,real
gy_real_a2_cv1_sp3.ghatREL1,0.148872492479553,0.385839982997554,gy,real,a2,cv1,sp3.ghatREL1,real
gy_real_a2_cv1_sp4.ghatREL1,0.513114166582717,0.716319877277406,gy,real,a2,cv1,sp4.ghatREL1,real
gy_real_a2_cv1_sp5.ghatREL1,0.868991896837156,0.93219734865379,gy,real,a2,cv1,sp5.ghatREL1,real
gy_real_a2_cv1_sp6.ghatREL1,0.647477226242814,0.80465969592295,gy,real,a2,cv1,sp6.ghatREL1,real
gy_real_a2_cv1_sp7.ghatREL1,0.534407814959151,0.731032020474583,gy,real,a2,cv1,sp7.ghatREL1,real
gy_real_a2_cv1_sp8.ghatREL1,0.333751521553772,0.577712317294492,gy,real,a2,cv1,sp8.ghatREL1,real
gy_real_a2_cv1_sp9.ghatREL1,0.281029500691239,0.530122156385903,gy,real,a2,cv1,sp9.ghatREL1,real
gy_real_a2_cv2_sp10.ghatREL1,0.264445761241503,0.514242901012258,gy,real,a2,cv2,sp10.ghatREL1,real
gy_real_a2_cv2_sp1.ghatREL1,0.212696668021593,0.461190489951379,gy,real,a2,cv2,sp1.ghatREL1,real
gy_real_a2_cv2_sp2.ghatREL1,0.696205686813296,0.834389409576425,gy,real,a2,cv2,sp2.ghatREL1,real
gy_real_a2_cv2_sp3.ghatREL1,0.739305154905264,0.859828561345379,gy,real,a2,cv2,sp3.ghatREL1,real
gy_real_a2_cv2_sp4.ghatREL1,0.134487204876924,0.366724971711668,gy,real,a2,cv2,sp4.ghatREL1,real
gy_real_a2_cv2_sp5.ghatREL1,0.407680212928567,0.638498404797198,gy,real,a2,cv2,sp5.ghatREL1,real
gy_real_a2_cv2_sp6.ghatREL1,0.207501064998444,0.455522847943376,gy,real,a2,cv2,sp6.ghatREL1,real
gy_real_a2_cv2_sp7.ghatREL1,0.103645172909885,0.321939703842016,gy,real,a2,cv2,sp7.ghatREL1,real
gy_real_a2_cv2_sp8.ghatREL1,0.300301873442986,0.547998059707319,gy,real,a2,cv2,sp8.ghatREL1,real
gy_real_a2_cv2_sp9.ghatREL1,0.1056183220022,0.324989725994838,gy,real,a2,cv2,sp9.ghatREL1,real
gy_real_a2_cv3_sp10.ghatREL1,0.734247112869049,0.856882204780242,gy,real,a2,cv3,sp10.ghatREL1,real
gy_real_a2_cv3_sp1.ghatREL1,0.483692527321917,0.69548006967987,gy,real,a2,cv3,sp1.ghatREL1,real
gy_real_a2_cv3_sp2.ghatREL1,0.0683247926880625,0.261390115895882,gy,real,a2,cv3,sp2.ghatREL1,real
gy_real_a2_cv3_sp3.ghatREL1,0.0925326227321628,0.304191753228392,gy,real,a2,cv3,sp3.ghatREL1,real
gy_real_a2_cv3_sp4.ghatREL1,0.539932566870053,0.734801038969089,gy,real,a2,cv3,sp4.ghatREL1,real
gy_real_a2_cv3_sp5.ghatREL1,0.307679116994625,0.554688306163583,gy,real,a2,cv3,sp5.ghatREL1,real
gy_real_a2_cv3_sp6.ghatREL1,0.280130939481858,0.529273973932082,gy,real,a2,cv3,sp6.ghatREL1,real
gy_real_a2_cv3_sp7.ghatREL1,0.537048965814436,0.732836247612273,gy,real,a2,cv3,sp7.ghatREL1,real
gy_real_a2_cv3_sp8.ghatREL1,0.385901612509336,0.621209797499473,gy,real,a2,cv3,sp8.ghatREL1,real
gy_real_a2_cv3_sp9.ghatREL1,0.65865751365041,0.811577176644593,gy,real,a2,cv3,sp9.ghatREL1,real
gy_real_a2_cv4_sp10.ghatREL1,0.0949346443258876,0.308114661004451,gy,real,a2,cv4,sp10.ghatREL1,real
gy_real_a2_cv4_sp1.ghatREL1,0.640132014274404,0.800082504667115,gy,real,a2,cv4,sp1.ghatREL1,real
gy_real_a2_cv4_sp2.ghatREL1,0.0446165032633079,0.211226189813924,gy,real,a2,cv4,sp2.ghatREL1,real
gy_real_a2_cv4_sp3.ghatREL1,0.569969103245347,0.754962981374151,gy,real,a2,cv4,sp3.ghatREL1,real
gy_real_a2_cv4_sp4.ghatREL1,0.0384929985633245,0.196196326579588,gy,real,a2,cv4,sp4.ghatREL1,real
gy_real_a2_cv4_sp5.ghatREL1,0.212825009617733,0.461329610601501,gy,real,a2,cv4,sp5.ghatREL1,real
gy_real_a2_cv4_sp6.ghatREL1,0.256974305113266,0.506926331051432,gy,real,a2,cv4,sp6.ghatREL1,real
gy_real_a2_cv4_sp7.ghatREL1,0.172574806349522,0.415421239646604,gy,real,a2,cv4,sp7.ghatREL1,real
gy_real_a2_cv4_sp8.ghatREL1,0.717581365388512,0.847101744413569,gy,real,a2,cv4,sp8.ghatREL1,real
gy_real_a2_cv4_sp9.ghatREL1,0.315096983696368,0.561335001310597,gy,real,a2,cv4,sp9.ghatREL1,real
gy_real_a2_cv5_sp10.ghatREL1,0.351188920515204,0.592611947664915,gy,real,a2,cv5,sp10.ghatREL1,real
gy_real_a2_cv5_sp1.ghatREL1,0.34241877008555,0.585165592021224,gy,real,a2,cv5,sp1.ghatREL1,real
gy_real_a2_cv5_sp2.ghatREL1,0.563381933724993,0.750587725535792,gy,real,a2,cv5,sp2.ghatREL1,real
gy_real_a2_cv5_sp3.ghatREL1,0.460410899173815,0.67853584958631,gy,real,a2,cv5,sp3.ghatREL1,real
gy_real_a2_cv5_sp4.ghatREL1,0.668212292711018,0.817442531748268,gy,real,a2,cv5,sp4.ghatREL1,real
gy_real_a2_cv5_sp5.ghatREL1,0.539371424937067,0.734419107143235,gy,real,a2,cv5,sp5.ghatREL1,real
gy_real_a2_cv5_sp6.ghatREL1,0.0777301124950019,0.278801206050121,gy,real,a2,cv5,sp6.ghatREL1,real
gy_real_a2_cv5_sp7.ghatREL1,0.423051377282798,0.650423998083403,gy,real,a2,cv5,sp7.ghatREL1,real
gy_real_a2_cv5_sp8.ghatREL1,0.410037941736145,0.64034205057621,gy,real,a2,cv5,sp8.ghatREL1,real
gy_real_a2_cv5_sp9.ghatREL1,0.382994116531805,0.618865184456037,gy,real,a2,cv5,sp9.ghatREL1,real
gy_real_d2_cv1_sp10.ghatREL1,0.273780371354782,0.523240261595743,gy,real,d2,cv1,sp10.ghatREL1,real
gy_real_d2_cv1_sp1.ghatREL1,0.316754156653165,0.562809165395487,gy,real,d2,cv1,sp1.ghatREL1,real
gy_real_d2_cv1_sp2.ghatREL1,0.211767055951761,0.460181546731028,gy,real,d2,cv1,sp2.ghatREL1,real
gy_real_d2_cv1_sp3.ghatREL1,0.173164471867931,0.416130354417857,gy,real,d2,cv1,sp3.ghatREL1,real
gy_real_d2_cv1_sp4.ghatREL1,0.500763672757866,0.707646573338603,gy,real,d2,cv1,sp4.ghatREL1,real
gy_real_d2_cv1_sp5.ghatREL1,0.58971166716588,0.767926863162033,gy,real,d2,cv1,sp5.ghatREL1,real
gy_real_d2_cv1_sp6.ghatREL1,0.698437251675876,0.835725583954372,gy,real,d2,cv1,sp6.ghatREL1,real
gy_real_d2_cv1_sp7.ghatREL1,0.270085795247218,0.519697792228539,gy,real,d2,cv1,sp7.ghatREL1,real
gy_real_d2_cv1_sp8.ghatREL1,0.370197636105077,0.608438687219244,gy,real,d2,cv1,sp8.ghatREL1,real
gy_real_d2_cv1_sp9.ghatREL1,0.310076108699595,0.556844779718366,gy,real,d2,cv1,sp9.ghatREL1,real
gy_real_d2_cv2_sp10.ghatREL1,0.386469902909712,0.621667035405379,gy,real,d2,cv2,sp10.ghatREL1,real
gy_real_d2_cv2_sp1.ghatREL1,0.123970045727244,0.352093802455033,gy,real,d2,cv2,sp1.ghatREL1,real
gy_real_d2_cv2_sp2.ghatREL1,0.487188757327631,0.697989081094849,gy,real,d2,cv2,sp2.ghatREL1,real
gy_real_d2_cv2_sp3.ghatREL1,0.758276560250729,0.870790767205721,gy,real,d2,cv2,sp3.ghatREL1,real
gy_real_d2_cv2_sp4.ghatREL1,0.0444777283960146,0.210897435726503,gy,real,d2,cv2,sp4.ghatREL1,real
gy_real_d2_cv2_sp5.ghatREL1,0.11884252138689,0.344735436801744,gy,real,d2,cv2,sp5.ghatREL1,real
gy_real_d2_cv2_sp6.ghatREL1,0.350039895260897,0.591641694998668,gy,real,d2,cv2,sp6.ghatREL1,real
gy_real_d2_cv2_sp7.ghatREL1,0.185161886960608,0.430304411969722,gy,real,d2,cv2,sp7.ghatREL1,real
gy_real_d2_cv2_sp8.ghatREL1,0.367637383470677,0.606331084037984,gy,real,d2,cv2,sp8.ghatREL1,real
gy_real_d2_cv2_sp9.ghatREL1,0.0201024591088811,0.141783141130676,gy,real,d2,cv2,sp9.ghatREL1,real
gy_real_d2_cv3_sp10.ghatREL1,0.623524415803861,0.789635622172569,gy,real,d2,cv3,sp10.ghatREL1,real
gy_real_d2_cv3_sp1.ghatREL1,0.593492227022468,0.770384467017909,gy,real,d2,cv3,sp1.ghatREL1,real
gy_real_d2_cv3_sp2.ghatREL1,0.129659152650021,0.360082147085941,gy,real,d2,cv3,sp2.ghatREL1,real
gy_real_d2_cv3_sp3.ghatREL1,0.249086838621488,0.499086003231395,gy,real,d2,cv3,sp3.ghatREL1,real
gy_real_d2_cv3_sp4.ghatREL1,0.630029270149439,0.79374383156623,gy,real,d2,cv3,sp4.ghatREL1,real
gy_real_d2_cv3_sp5.ghatREL1,0.488530188682914,0.698949346292644,gy,real,d2,cv3,sp5.ghatREL1,real
gy_real_d2_cv3_sp6.ghatREL1,0.549475817401506,0.741266360629906,gy,real,d2,cv3,sp6.ghatREL1,real
gy_real_d2_cv3_sp7.ghatREL1,0.575560976171577,0.75865735096391,gy,real,d2,cv3,sp7.ghatREL1,real
gy_real_d2_cv3_sp8.ghatREL1,0.322702667588756,0.568069245417103,gy,real,d2,cv3,sp8.ghatREL1,real
gy_real_d2_cv3_sp9.ghatREL1,0.597088789010245,0.772715205628985,gy,real,d2,cv3,sp9.ghatREL1,real
gy_real_d2_cv4_sp10.ghatREL1,0.0599126313579407,0.244770568814841,gy,real,d2,cv4,sp10.ghatREL1,real
gy_real_d2_cv4_sp1.ghatREL1,0.607237423055804,0.779254402012465,gy,real,d2,cv4,sp1.ghatREL1,real
gy_real_d2_cv4_sp2.ghatREL1,0.0158257450611689,0.125800417571521,gy,real,d2,cv4,sp2.ghatREL1,real
gy_real_d2_cv4_sp3.ghatREL1,0.703837050649569,0.83894996909802,gy,real,d2,cv4,sp3.ghatREL1,real
gy_real_d2_cv4_sp4.ghatREL1,0.0986619179850514,0.3141049474062,gy,real,d2,cv4,sp4.ghatREL1,real
gy_real_d2_cv4_sp5.ghatREL1,0.301612656176509,0.549192731358044,gy,real,d2,cv4,sp5.ghatREL1,real
gy_real_d2_cv4_sp6.ghatREL1,0.270919663046905,0.520499436163869,gy,real,d2,cv4,sp6.ghatREL1,real
gy_real_d2_cv4_sp7.ghatREL1,0.177834434414903,0.421704202510366,gy,real,d2,cv4,sp7.ghatREL1,real
gy_real_d2_cv4_sp8.ghatREL1,0.715032929717378,0.84559619779028,gy,real,d2,cv4,sp8.ghatREL1,real
gy_real_d2_cv4_sp9.ghatREL1,0.151261303213616,0.388923261342923,gy,real,d2,cv4,sp9.ghatREL1,real
gy_real_d2_cv5_sp10.ghatREL1,0.391887453231461,0.626009147881612,gy,real,d2,cv5,sp10.ghatREL1,real
gy_real_d2_cv5_sp1.ghatREL1,0.150863861607036,0.388411974077829,gy,real,d2,cv5,sp1.ghatREL1,real
gy_real_d2_cv5_sp2.ghatREL1,0.473460463447756,0.688084633927947,gy,real,d2,cv5,sp2.ghatREL1,real
gy_real_d2_cv5_sp3.ghatREL1,0.208066118299331,0.456142651260909,gy,real,d2,cv5,sp3.ghatREL1,real
gy_real_d2_cv5_sp4.ghatREL1,0.368389118888177,0.606950672532931,gy,real,d2,cv5,sp4.ghatREL1,real
gy_real_d2_cv5_sp5.ghatREL1,0.550527094373449,0.741975130562642,gy,real,d2,cv5,sp5.ghatREL1,real
gy_real_d2_cv5_sp6.ghatREL1,1.59615125295937e-06,0.00126338879722727,gy,real,d2,cv5,sp6.ghatREL1,real
gy_real_d2_cv5_sp7.ghatREL1,0.631103736638324,0.794420377783906,gy,real,d2,cv5,sp7.ghatREL1,real
gy_real_d2_cv5_sp8.ghatREL1,0.178877827555901,0.422939508152053,gy,real,d2,cv5,sp8.ghatREL1,real
gy_real_d2_cv5_sp9.ghatREL1,0.443816934535356,0.66619586799631,gy,real,d2,cv5,sp9.ghatREL1,real
gy_real_h2_cv1_sp10.ghatREL1,0.71900790315183,0.847943337229458,gy,real,h2,cv1,sp10.ghatREL1,real
gy_real_h2_cv1_sp1.ghatREL1,0.301139060308142,0.54876138740635,gy,real,h2,cv1,sp1.ghatREL1,real
