file,R2,r,trait,cs,mode,cv,sp,type
asi_real_a2_cv1_sp10.ghatREL1,0.129412951331725,0.359740116378095,asi,real,a2,cv1,sp10.ghatREL1,real
asi_real_a2_cv1_sp1.ghatREL1,0.0189088296721153,0.13750938030591,asi,real,a2,cv1,sp1.ghatREL1,real
asi_real_a2_cv1_sp2.ghatREL1,0.164466594945771,0.405544812500136,asi,real,a2,cv1,sp2.ghatREL1,real
asi_real_a2_cv1_sp3.ghatREL1,0.0306954101742259,-0.175201056430108,asi,real,a2,cv1,sp3.ghatREL1,real
asi_real_a2_cv1_sp4.ghatREL1,0.381695412965516,0.617815031352844,asi,real,a2,cv1,sp4.ghatREL1,real
asi_real_a2_cv1_sp5.ghatREL1,3.26020075179384e-07,-0.000570981676745746,asi,real,a2,cv1,sp5.ghatREL1,real
asi_real_a2_cv1_sp6.ghatREL1,0.0217897021830933,0.147613353674704,asi,real,a2,cv1,sp6.ghatREL1,real
asi_real_a2_cv1_sp7.ghatREL1,0.0293261995582993,-0.171248940312924,asi,real,a2,cv1,sp7.ghatREL1,real
asi_real_a2_cv1_sp8.ghatREL1,0.0938195416963238,0.306299757910978,asi,real,a2,cv1,sp8.ghatREL1,real
asi_real_a2_cv1_sp9.ghatREL1,0.0101897725858976,-0.100944403440199,asi,real,a2,cv1,sp9.ghatREL1,real
asi_real_a2_cv2_sp10.ghatREL1,0.213116321221886,-0.461645233076099,asi,real,a2,cv2,sp10.ghatREL1,real
asi_real_a2_cv2_sp1.ghatREL1,0.245747128170002,-0.495728885753092,asi,real,a2,cv2,sp1.ghatREL1,real
asi_real_a2_cv2_sp2.ghatREL1,0.0275536506973924,0.165992923636498,asi,real,a2,cv2,sp2.ghatREL1,real
asi_real_a2_cv2_sp3.ghatREL1,0.00453887392303954,0.0673711653679788,asi,real,a2,cv2,sp3.ghatREL1,real
asi_real_a2_cv2_sp4.ghatREL1,0.18477876185989,-0.42985900230179,asi,real,a2,cv2,sp4.ghatREL1,real
asi_real_a2_cv2_sp5.ghatREL1,0.367523509411548,0.606237172574849,asi,real,a2,cv2,sp5.ghatREL1,real
asi_real_a2_cv2_sp6.ghatREL1,0.290844800879807,0.539300288225221,asi,real,a2,cv2,sp6.ghatREL1,real
asi_real_a2_cv2_sp7.ghatREL1,0.155053690835624,0.393768575226139,asi,real,a2,cv2,sp7.ghatREL1,real
asi_real_a2_cv2_sp8.ghatREL1,0.0474547667288595,-0.217841150219281,asi,real,a2,cv2,sp8.ghatREL1,real
asi_real_a2_cv2_sp9.ghatREL1,0.0806545317911332,0.283997415113471,asi,real,a2,cv2,sp9.ghatREL1,real
asi_real_a2_cv3_sp10.ghatREL1,0.158926515698385,0.398655886321003,asi,real,a2,cv3,sp10.ghatREL1,real
asi_real_a2_cv3_sp1.ghatREL1,0.141853270066072,0.376634132900978,asi,real,a2,cv3,sp1.ghatREL1,real
asi_real_a2_cv3_sp2.ghatREL1,0.329197021156731,-0.573756935606647,asi,real,a2,cv3,sp2.ghatREL1,real
asi_real_a2_cv3_sp3.ghatREL1,0.0496416511414872,0.222804064463571,asi,real,a2,cv3,sp3.ghatREL1,real
asi_real_a2_cv3_sp4.ghatREL1,0.127320201444808,-0.356819564268565,asi,real,a2,cv3,sp4.ghatREL1,real
