file,R2,r,trait,cs,mode,cv,sp,type
asi_real_a2_cv1_sp10.ghatREL1,0.129412951331725,0.359740116378095,asi,real,a2,cv1,sp10.ghatREL1,real
asi_real_a2_cv1_sp10.ghatREL2,0.129412951331725,0.359740116378095,asi,real,a2,cv1,sp10.ghatREL2,real
asi_real_a2_cv1_sp1.ghatREL1,0.0189088296721153,0.13750938030591,asi,real,a2,cv1,sp1.ghatREL1,real
asi_real_a2_cv1_sp1.ghatREL2,0.0189088296721153,0.13750938030591,asi,real,a2,cv1,sp1.ghatREL2,real
asi_real_a2_cv1_sp2.ghatREL1,0.164466594945771,0.405544812500136,asi,real,a2,cv1,sp2.ghatREL1,real
asi_real_a2_cv1_sp2.ghatREL2,0.164466594945771,0.405544812500136,asi,real,a2,cv1,sp2.ghatREL2,real
asi_real_a2_cv1_sp3.ghatREL1,0.0306954101742259,-0.175201056430108,asi,real,a2,cv1,sp3.ghatREL1,real
asi_real_a2_cv1_sp3.ghatREL2,0.0306954101742259,-0.175201056430108,asi,real,a2,cv1,sp3.ghatREL2,real
asi_real_a2_cv1_sp4.ghatREL1,0.381695412965516,0.617815031352844,asi,real,a2,cv1,sp4.ghatREL1,real
asi_real_a2_cv1_sp4.ghatREL2,0.381695412965516,0.617815031352844,asi,real,a2,cv1,sp4.ghatREL2,real
asi_real_a2_cv1_sp5.ghatREL1,3.26020075179384e-07,-0.000570981676745746,asi,real,a2,cv1,sp5.ghatREL1,real
asi_real_a2_cv1_sp5.ghatREL2,3.26020075179384e-07,-0.000570981676745746,asi,real,a2,cv1,sp5.ghatREL2,real
asi_real_a2_cv1_sp6.ghatREL1,0.0217897021830933,0.147613353674704,asi,real,a2,cv1,sp6.ghatREL1,real
asi_real_a2_cv1_sp6.ghatREL2,0.0217897021830933,0.147613353674704,asi,real,a2,cv1,sp6.ghatREL2,real
asi_real_a2_cv1_sp7.ghatREL1,0.0293261995582993,-0.171248940312924,asi,real,a2,cv1,sp7.ghatREL1,real
asi_real_a2_cv1_sp7.ghatREL2,0.0293261995582993,-0.171248940312924,asi,real,a2,cv1,sp7.ghatREL2,real
asi_real_a2_cv1_sp8.ghatREL1,0.0938195416963238,0.306299757910978,asi,real,a2,cv1,sp8.ghatREL1,real
asi_real_a2_cv1_sp8.ghatREL2,0.0938195416963238,0.306299757910978,asi,real,a2,cv1,sp8.ghatREL2,real
asi_real_a2_cv1_sp9.ghatREL1,0.0101897725858976,-0.100944403440199,asi,real,a2,cv1,sp9.ghatREL1,real
asi_real_a2_cv1_sp9.ghatREL2,0.0101897725858976,-0.100944403440199,asi,real,a2,cv1,sp9.ghatREL2,real
asi_real_a2_cv2_sp10.ghatREL1,0.213116321221886,-0.461645233076099,asi,real,a2,cv2,sp10.ghatREL1,real
asi_real_a2_cv2_sp10.ghatREL2,0.213116321221886,-0.461645233076099,asi,real,a2,cv2,sp10.ghatREL2,real
asi_real_a2_cv2_sp1.ghatREL1,0.245747128170002,-0.495728885753092,asi,real,a2,cv2,sp1.ghatREL1,real
asi_real_a2_cv2_sp1.ghatREL2,0.245747128170002,-0.495728885753092,asi,real,a2,cv2,sp1.ghatREL2,real
asi_real_a2_cv2_sp2.ghatREL1,0.0275536506973924,0.165992923636498,asi,real,a2,cv2,sp2.ghatREL1,real
asi_real_a2_cv2_sp2.ghatREL2,0.0275536506973924,0.165992923636498,asi,real,a2,cv2,sp2.ghatREL2,real
asi_real_a2_cv2_sp3.ghatREL1,0.00453887392303954,0.0673711653679788,asi,real,a2,cv2,sp3.ghatREL1,real
asi_real_a2_cv2_sp3.ghatREL2,0.00453887392303954,0.0673711653679788,asi,real,a2,cv2,sp3.ghatREL2,real
asi_real_a2_cv2_sp4.ghatREL1,0.18477876185989,-0.42985900230179,asi,real,a2,cv2,sp4.ghatREL1,real
asi_real_a2_cv2_sp4.ghatREL2,0.18477876185989,-0.42985900230179,asi,real,a2,cv2,sp4.ghatREL2,real
asi_real_a2_cv2_sp5.ghatREL1,0.367523509411548,0.606237172574849,asi,real,a2,cv2,sp5.ghatREL1,real
asi_real_a2_cv2_sp5.ghatREL2,0.367523509411548,0.606237172574849,asi,real,a2,cv2,sp5.ghatREL2,real
asi_real_a2_cv2_sp6.ghatREL1,0.290844800879807,0.539300288225221,asi,real,a2,cv2,sp6.ghatREL1,real
asi_real_a2_cv2_sp6.ghatREL2,0.290844800879807,0.539300288225221,asi,real,a2,cv2,sp6.ghatREL2,real
asi_real_a2_cv2_sp7.ghatREL1,0.155053690835624,0.393768575226139,asi,real,a2,cv2,sp7.ghatREL1,real
asi_real_a2_cv2_sp7.ghatREL2,0.155053690835624,0.393768575226139,asi,real,a2,cv2,sp7.ghatREL2,real
asi_real_a2_cv2_sp8.ghatREL1,0.0474547667288595,-0.217841150219281,asi,real,a2,cv2,sp8.ghatREL1,real
asi_real_a2_cv2_sp8.ghatREL2,0.0474547667288595,-0.217841150219281,asi,real,a2,cv2,sp8.ghatREL2,real
asi_real_a2_cv2_sp9.ghatREL1,0.0806545317911332,0.283997415113471,asi,real,a2,cv2,sp9.ghatREL1,real
asi_real_a2_cv2_sp9.ghatREL2,0.0806545317911332,0.283997415113471,asi,real,a2,cv2,sp9.ghatREL2,real
asi_real_a2_cv3_sp10.ghatREL1,0.158926515698385,0.398655886321003,asi,real,a2,cv3,sp10.ghatREL1,real
asi_real_a2_cv3_sp1.ghatREL1,0.141853270066072,0.376634132900978,asi,real,a2,cv3,sp1.ghatREL1,real
asi_real_a2_cv3_sp1.ghatREL2,0.141853270066072,0.376634132900978,asi,real,a2,cv3,sp1.ghatREL2,real
asi_real_a2_cv3_sp2.ghatREL2,0.329197021156731,-0.573756935606647,asi,real,a2,cv3,sp2.ghatREL2,real
asi_real_a2_cv3_sp3.ghatREL1,0.0496416511414872,0.222804064463571,asi,real,a2,cv3,sp3.ghatREL1,real
asi_real_a2_cv3_sp4.ghatREL1,0.127320201444808,-0.356819564268565,asi,real,a2,cv3,sp4.ghatREL1,real
asi_real_a2_cv3_sp5.ghatREL1,0.0318739010578265,0.178532633033366,asi,real,a2,cv3,sp5.ghatREL1,real
asi_real_a2_cv3_sp6.ghatREL1,0.308471068818237,0.555401718414912,asi,real,a2,cv3,sp6.ghatREL1,real
asi_real_a2_cv3_sp7.ghatREL1,0.00178779367734686,0.0422823092716902,asi,real,a2,cv3,sp7.ghatREL1,real
asi_real_a2_cv3_sp8.ghatREL1,0.0421494035168453,0.205303198993209,asi,real,a2,cv3,sp8.ghatREL1,real
asi_real_a2_cv3_sp9.ghatREL1,0.147097795144011,0.383533303826422,asi,real,a2,cv3,sp9.ghatREL1,real
asi_real_a2_cv4_sp10.ghatREL1,0.0153943649980346,0.124074030312691,asi,real,a2,cv4,sp10.ghatREL1,real
asi_real_a2_cv4_sp1.ghatREL1,0.0669524637853632,0.258751741608367,asi,real,a2,cv4,sp1.ghatREL1,real
asi_real_a2_cv4_sp2.ghatREL1,0.0863695628483051,-0.293886989926919,asi,real,a2,cv4,sp2.ghatREL1,real
asi_real_a2_cv4_sp3.ghatREL1,0.00172860196380402,0.0415764592504463,asi,real,a2,cv4,sp3.ghatREL1,real
asi_real_a2_cv4_sp4.ghatREL1,0.0775218633515767,0.278427483111091,asi,real,a2,cv4,sp4.ghatREL1,real
asi_real_a2_cv4_sp5.ghatREL1,0.083336006872485,0.288679765263319,asi,real,a2,cv4,sp5.ghatREL1,real
asi_real_a2_cv4_sp6.ghatREL1,0.0416331869354783,0.204042120493486,asi,real,a2,cv4,sp6.ghatREL1,real
asi_real_a2_cv4_sp7.ghatREL1,0.559267628290461,0.747841980829146,asi,real,a2,cv4,sp7.ghatREL1,real
asi_real_a2_cv4_sp8.ghatREL1,0.0309635250069857,-0.17596455610999,asi,real,a2,cv4,sp8.ghatREL1,real
asi_real_a2_cv4_sp9.ghatREL1,0.00846430285474681,-0.0920016459349875,asi,real,a2,cv4,sp9.ghatREL1,real
asi_real_a2_cv5_sp10.ghatREL1,0.00609308610476379,-0.0780582225314143,asi,real,a2,cv5,sp10.ghatREL1,real
asi_real_a2_cv5_sp1.ghatREL1,0.186653747212616,0.43203442827235,asi,real,a2,cv5,sp1.ghatREL1,real
asi_real_a2_cv5_sp2.ghatREL1,0.300133597732271,0.54784450141648,asi,real,a2,cv5,sp2.ghatREL1,real
asi_real_a2_cv5_sp3.ghatREL1,0.14270860054801,0.377767918897317,asi,real,a2,cv5,sp3.ghatREL1,real
asi_real_a2_cv5_sp4.ghatREL1,0.254059559234151,0.504043211673514,asi,real,a2,cv5,sp4.ghatREL1,real
asi_real_a2_cv5_sp5.ghatREL1,0.0409050770344604,0.202250035931914,asi,real,a2,cv5,sp5.ghatREL1,real
asi_real_a2_cv5_sp6.ghatREL1,0.0166516751479646,0.129041369908896,asi,real,a2,cv5,sp6.ghatREL1,real
asi_real_a2_cv5_sp7.ghatREL1,0.0362221993977976,-0.190321305685406,asi,real,a2,cv5,sp7.ghatREL1,real
asi_real_a2_cv5_sp8.ghatREL1,0.00260732208658776,0.0510619436232872,asi,real,a2,cv5,sp8.ghatREL1,real
asi_real_a2_cv5_sp9.ghatREL1,0.142298690566847,0.377224986668231,asi,real,a2,cv5,sp9.ghatREL1,real
asi_real_d2_cv1_sp10.ghatREL1,0.0530761760896444,0.230382673154134,asi,real,d2,cv1,sp10.ghatREL1,real
asi_real_d2_cv1_sp1.ghatREL1,0.0559568095520321,0.236551917244465,asi,real,d2,cv1,sp1.ghatREL1,real
