file,genotype,ghat,V1,V2,trait,mode,tsf
asi_a2,B73xLH1,-1.527386964,Fix,-0.948624194,asi,a2,perse
asi_a2,B73xLH123HT,-0.9003988508,Fix,-0.948624194,asi,a2,perse
asi_a2,B73xLH82,-0.9778111096,Fix,-0.948624194,asi,a2,perse
asi_a2,B73xMO17,-1.415021062,Fix,-0.948624194,asi,a2,perse
asi_a2,B73xPH207,-1.445319236,Fix,-0.948624194,asi,a2,perse
asi_a2,B73xPHG35,-0.749008328,Fix,-0.948624194,asi,a2,perse
asi_a2,B73xPHG39,-1.0262338373,Fix,-0.948624194,asi,a2,perse
asi_a2,B73xPHG47,-0.830371298,Fix,-0.948624194,asi,a2,perse
asi_a2,B73xPHG84,-1.202568025,Fix,-0.948624194,asi,a2,perse
asi_a2,B73xPHJ40,-0.776396022,Fix,-0.948624194,asi,a2,perse
asi_a2,B73xPHZ51,-1.326062858,Fix,-0.948624194,asi,a2,perse
asi_a2,LH1xLH123HT,-1.130302698,Fix,-0.948624194,asi,a2,perse
asi_a2,LH1xLH82,-1.206008226,Fix,-0.948624194,asi,a2,perse
asi_a2,LH1xMO17,-1.64449066,Fix,-0.948624194,asi,a2,perse
asi_a2,LH1xPH207,-1.678069473,Fix,-0.948624194,asi,a2,perse
asi_a2,LH1xPHG35,-0.9777864612,Fix,-0.948624194,asi,a2,perse
asi_a2,LH1xPHG39,-1.254722715,Fix,-0.948624194,asi,a2,perse
asi_a2,LH1xPHG47,-1.06169504,Fix,-0.948624194,asi,a2,perse
asi_a2,LH1xPHG84,-1.431196094,Fix,-0.948624194,asi,a2,perse
asi_a2,LH1xPHJ40,-1.0040098656,Fix,-0.948624194,asi,a2,perse
asi_a2,LH1xPHZ51,-1.553098441,Fix,-0.948624194,asi,a2,perse
asi_a2,LH123HTxLH82,-0.58278808,Fix,-0.948624194,asi,a2,perse
asi_a2,LH123HTxMO17,-1.0184142369,Fix,-0.948624194,asi,a2,perse
asi_a2,LH123HTxPH207,-1.050727837,Fix,-0.948624194,asi,a2,perse
asi_a2,LH123HTxPHG35,-0.351718247,Fix,-0.948624194,asi,a2,perse
asi_a2,LH123HTxPHG39,-0.631696225,Fix,-0.948624194,asi,a2,perse
asi_a2,LH123HTxPHG47,-0.435577572,Fix,-0.948624194,asi,a2,perse
asi_a2,LH123HTxPHG84,-0.807482094,Fix,-0.948624194,asi,a2,perse
asi_a2,LH123HTxPHJ40,-0.379869521,Fix,-0.948624194,asi,a2,perse
asi_a2,LH123HTxPHZ51,-0.9332878723,Fix,-0.948624194,asi,a2,perse
asi_a2,LH82xMO17,-1.094438687,Fix,-0.948624194,asi,a2,perse
asi_a2,LH82xPH207,-1.124674306,Fix,-0.948624194,asi,a2,perse
asi_a2,LH82xPHG35,-0.430021227,Fix,-0.948624194,asi,a2,perse
asi_a2,LH82xPHG39,-0.709681824,Fix,-0.948624194,asi,a2,perse
asi_a2,LH82xPHG47,-0.515049935,Fix,-0.948624194,asi,a2,perse
asi_a2,LH82xPHG84,-0.8798787746,Fix,-0.948624194,asi,a2,perse
asi_a2,LH82xPHJ40,-0.457361222,Fix,-0.948624194,asi,a2,perse
asi_a2,LH82xPHZ51,-1.0098254535,Fix,-0.948624194,asi,a2,perse
asi_a2,MO17xPH207,-1.561744988,Fix,-0.948624194,asi,a2,perse
asi_a2,MO17xPHG35,-0.8626411188,Fix,-0.948624194,asi,a2,perse
asi_a2,MO17xPHG39,-1.143629104,Fix,-0.948624194,asi,a2,perse
asi_a2,MO17xPHG47,-0.947795949509,Fix,-0.948624194,asi,a2,perse
asi_a2,MO17xPHG84,-1.318225384,Fix,-0.948624194,asi,a2,perse
asi_a2,MO17xPHJ40,-0.892066941,Fix,-0.948624194,asi,a2,perse
asi_a2,MO17xPHZ51,-1.445095212,Fix,-0.948624194,asi,a2,perse
asi_a2,PH207xPHG35,-0.8959752846,Fix,-0.948624194,asi,a2,perse
asi_a2,PH207xPHG39,-1.175890506,Fix,-0.948624194,asi,a2,perse
asi_a2,PH207xPHG47,-0.97782811,Fix,-0.948624194,asi,a2,perse
asi_a2,PH207xPHG84,-1.350490392,Fix,-0.948624194,asi,a2,perse
asi_a2,PH207xPHJ40,-0.9202742487,Fix,-0.948624194,asi,a2,perse
asi_a2,PH207xPHZ51,-1.478791893,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG35xPHG39,-0.478295863,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG35xPHG47,-0.286432624,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG35xPHG84,-0.654974044,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG35xPHJ40,-0.226519704,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG35xPHZ51,-0.779379011,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG39xPHG47,-0.563179195,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG39xPHG84,-0.9314147163,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG39xPHJ40,-0.506049663,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG39xPHZ51,-1.057009638,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG47xPHG84,-0.735928744,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG47xPHJ40,-0.310473144,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG47xPHZ51,-0.8627486381,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG84xPHJ40,-0.678156138,Fix,-0.948624194,asi,a2,perse
asi_a2,PHG84xPHZ51,-1.233229697,Fix,-0.948624194,asi,a2,perse
asi_a2,PHJ40xPHZ51,-0.804504156,Fix,-0.948624194,asi,a2,perse
asi_d2,B73xLH1,-1.093177408,Fix,-0.948386371,asi,d2,perse
asi_d2,B73xLH123HT,-1.093177408,Fix,-0.948386371,asi,d2,perse
asi_d2,B73xLH82,-1.093177408,Fix,-0.948386371,asi,d2,perse
asi_d2,B73xMO17,-1.093177408,Fix,-0.948386371,asi,d2,perse
asi_d2,B73xPH207,-1.093177408,Fix,-0.948386371,asi,d2,perse
asi_d2,B73xPHG35,-1.093177408,Fix,-0.948386371,asi,d2,perse
asi_d2,B73xPHG39,-1.093177408,Fix,-0.948386371,asi,d2,perse
asi_d2,B73xPHG47,-1.093177408,Fix,-0.948386371,asi,d2,perse
