file,genvar,resvar,totvar,h2,trait,transf,mode
asi_BPHmax_1a2.out1,0.0684163,0.428846,0.497262,0.137586,asi,BPHmax,a2
asi_BPHmax_1d2.out1,0.066848,0.433561,0.500409,0.133587,asi,BPHmax,d2
asi_BPHmin_1a2.out1,0.615716,0.210005,0.825721,0.74567,asi,BPHmin,a2
asi_BPHmin_1d2.out1,0.137153,0.647929,0.785082,0.174699,asi,BPHmin,d2
asi_MPH_1a2.out1,0.257577,0.173083,0.430661,0.598098,asi,MPH,a2
asi_MPH_1d2.out1,0.118327,0.298355,0.416683,0.283975,asi,MPH,d2
asi_pBPHmax_1a2.out1,0.00321566,0.230758,0.233973,0.0137437,asi,pBPHmax,a2
asi_pBPHmax_1d2.out1,0.00222318,0.231881,0.234104,0.00949656,asi,pBPHmax,d2
asi_pBPHmin_1a2.out1,0.00145911,0.0973284,0.0987875,0.0147702,asi,pBPHmin,a2
asi_pBPHmin_1d2.out1,0.00107319,0.0976725,0.0987457,0.0108682,asi,pBPHmin,d2
asi_perse_1a2.out1,0.105704,0.211269,0.316973,0.33348,asi,perse,a2
asi_perse_1d2.out1,0.0186074,0.305362,0.32397,0.0574357,asi,perse,d2
asi_pMPH_1a2.out1,0.00207268,0.103313,0.105385,0.0196676,asi,pMPH,a2
asi_pMPH_1d2.out1,0.00182562,0.103129,0.104955,0.0173944,asi,pMPH,d2
dtp_BPHmax_1a2.out1,0.98981,1.82533,2.81514,0.351602,dtp,BPHmax,a2
dtp_BPHmax_1d2.out1,2.28694,0.634722,2.92167,0.782753,dtp,BPHmax,d2
dtp_BPHmin_1a2.out1,4.14822,0.31562,4.46384,0.929294,dtp,BPHmin,a2
dtp_BPHmin_1d2.out1,3.26256,1.04669,4.30925,0.757106,dtp,BPHmin,d2
dtp_MPH_1a2.out1,0.650577,0.217184,0.867762,0.749719,dtp,MPH,a2
dtp_MPH_1d2.out1,0.587376,0.269656,0.857033,0.685361,dtp,MPH,d2
dtp_pBPHmax_1a2.out1,0.00415313,0.0545444,0.0586975,0.0707547,dtp,pBPHmax,a2
dtp_pBPHmax_1d2.out1,0.00364999,0.0541736,0.0578236,0.0631228,dtp,pBPHmax,d2
dtp_pBPHmin_1a2.out1,0.00414422,0.0546298,0.058774,0.0705111,dtp,pBPHmin,a2
dtp_pBPHmin_1d2.out1,0.00366009,0.0546167,0.0582768,0.0628053,dtp,pBPHmin,d2
dtp_perse_1a2.out1,5.2007,0.211299,5.412,0.960957,dtp,perse,a2
dtp_perse_1d2.out1,4.00485,1.19377,5.19862,0.770367,dtp,perse,d2
dtp_pMPH_1a2.out1,0.00424507,0.0548852,0.0591302,0.0717918,dtp,pMPH,a2
dtp_pMPH_1d2.out1,0.00370369,0.0543329,0.0580366,0.0638165,dtp,pMPH,d2
dts_BPHmax_1a2.out1,3.92842,0.274324,4.20274,0.934727,dts,BPHmax,a2
dts_BPHmax_1d2.out1,3.47414,0.639584,4.11372,0.844524,dts,BPHmax,d2
dts_BPHmin_1a2.out1,5.58919,0.311045,5.90024,0.947283,dts,BPHmin,a2
dts_BPHmin_1d2.out1,3.80616,1.76681,5.57297,0.682967,dts,BPHmin,d2
dts_MPH_1a2.out1,0.997699,0.221016,1.21872,0.818649,dts,MPH,a2
dts_MPH_1d2.out1,0.777096,0.403128,1.18022,0.658431,dts,MPH,d2
dts_pBPHmax_1a2.out1,0.00445474,0.0549677,0.0594225,0.0749672,dts,pBPHmax,a2
dts_pBPHmax_1d2.out1,0.00392039,0.0546086,0.058529,0.066982,dts,pBPHmax,d2
dts_pBPHmin_1a2.out1,0.00456313,0.0554811,0.0600442,0.0759962,dts,pBPHmin,a2
dts_pBPHmin_1d2.out1,0.00394032,0.0549026,0.0588429,0.0669633,dts,pBPHmin,d2
dts_perse_1a2.out1,6.08156,0.211491,6.29305,0.966393,dts,perse,a2
dts_perse_1d2.out1,4.81679,1.24155,6.05834,0.795067,dts,perse,d2
dts_pMPH_1a2.out1,0.00455377,0.0552902,0.059844,0.076094,dts,pMPH,a2
dts_pMPH_1d2.out1,0.00390189,0.0547243,0.0586262,0.0665553,dts,pMPH,d2
eht_BPHmax_1a2.out1,12.0508,43.8492,55.9,0.215579,eht,BPHmax,a2
eht_BPHmax_1d2.out1,1.21249,56.5742,57.7867,0.0209822,eht,BPHmax,d2
eht_BPHmin_1a2.out1,57.5099,22.6681,80.178,0.717278,eht,BPHmin,a2
eht_BPHmin_1d2.out1,45.1837,32.4779,77.6616,0.581803,eht,BPHmin,d2
eht_MPH_1a2.out1,27.7715,11.4665,39.2379,0.70777,eht,MPH,a2
eht_MPH_1d2.out1,19.1673,18.8542,38.0214,0.504118,eht,MPH,d2
eht_pBPHmax_1a2.out1,0.119629,1.75702,1.87664,0.063746,eht,pBPHmax,a2
eht_pBPHmax_1d2.out1,0.103364,1.74468,1.84804,0.0559316,eht,pBPHmax,d2
eht_pBPHmin_1a2.out1,0.119282,1.75954,1.87882,0.0634878,eht,pBPHmin,a2
eht_pBPHmin_1d2.out1,0.106124,1.74804,1.85417,0.0572356,eht,pBPHmin,d2
eht_perse_1a2.out1,131.38,9.33702,140.717,0.933647,eht,perse,a2
eht_perse_1d2.out1,90.9055,42.3611,133.267,0.682133,eht,perse,d2
eht_pMPH_1a2.out1,0.122462,1.76504,1.8875,0.0648804,eht,pMPH,a2
eht_pMPH_1d2.out1,0.106278,1.75659,1.86287,0.0570508,eht,pMPH,d2
gy_BPHmax_1a2.out1,201.109,60.2998,261.409,0.769328,gy,BPHmax,a2
gy_BPHmax_1d2.out1,154.267,98.5235,252.791,0.610257,gy,BPHmax,d2
gy_BPHmin_1a2.out1,333.093,63.1475,396.24,0.840633,gy,BPHmin,a2
gy_BPHmin_1d2.out1,20.5895,347.396,367.985,0.0559519,gy,BPHmin,d2
gy_MPH_1a2.out1,222.128,55.693,277.821,0.799536,gy,MPH,a2
gy_MPH_1d2.out1,65.5136,195.549,261.063,0.25095,gy,MPH,d2
gy_pBPHmax_1a2.out1,0.21738,10.0276,10.245,0.0212181,gy,pBPHmax,a2
gy_pBPHmax_1d2.out1,0.183285,10.0127,10.196,0.0179761,gy,pBPHmax,d2
gy_pBPHmin_1a2.out1,0.23366,10.2563,10.49,0.0222745,gy,pBPHmin,a2
gy_pBPHmin_1d2.out1,0.187747,10.2552,10.4429,0.0179784,gy,pBPHmin,d2
gy_perse_1a2.out1,93.425,73.4474,166.872,0.559859,gy,perse,a2
gy_perse_1d2.out1,4.23151,160.549,164.78,0.0256798,gy,perse,d2
gy_pMPH_1a2.out1,0.220433,10.1423,10.3628,0.0212716,gy,pMPH,a2
gy_pMPH_1d2.out1,0.192855,10.1178,10.3106,0.0187045,gy,pMPH,d2
pht_BPHmax_1a2.out1,206.131,34.4191,240.55,0.856915,pht,BPHmax,a2
pht_BPHmax_1d2.out1,74.5714,148.889,223.461,0.333711,pht,BPHmax,d2
pht_BPHmin_1a2.out1,218.551,29.5053,248.057,0.881054,pht,BPHmin,a2
pht_BPHmin_1d2.out1,87.4668,142.76,230.227,0.379916,pht,BPHmin,d2
pht_MPH_1a2.out1,81.175,22.7839,103.959,0.780838,pht,MPH,a2
pht_MPH_1d2.out1,65.8987,35.4009,101.3,0.650532,pht,MPH,d2
pht_pBPHmax_1a2.out1,0.340205,4.81376,5.15396,0.0660085,pht,pBPHmax,a2
