"trait","mode","p21","p43","aic21","aic43"
"ASI","a2",0.757960785211258,0.41799855234175,1.89809257827017,1.28446380437717
"ASI","d2",0.507687346473008,0.373966158581134,1.5290775279944,1.13773557528793
"ASI","h2",0.396330472035894,0.372091017976822,1.2279588695135,1.13094360712333
"DTP","a2",0.905554861143297,0.174848800904621,1.98489330490452,-0.00811314544716879
"DTP","d2",0.580395370308211,0.947851874386223,1.6720553550047,1.99533351271995
"DTP","h2",0.424172911622657,0.946206479328106,1.31456661771568,1.99503393557984
"DTS","a2",0.707726400815229,0.00280620811196168,1.84916193112622,-7.73981110301182
"DTS","d2",0.89369888048091,0.196314939310287,1.9808384012198,0.178737933930307
"DTS","h2",0.879516489289491,0.196686043037495,1.97534240833052,0.181755869398103
"EHT","a2",0.798614809553493,0.0920681424490074,1.93014267196213,-1.09561517458419
"EHT","d2",0.404275437945262,0.142786479029929,1.25356242541983,-0.342774963397353
"EHT","h2",0.255506069736114,0.133860710470673,0.612515672718132,-0.451290337303959
"GY","a2",0.913235140430924,0.576558832537376,1.98725970987277,1.65983364689365
"GY","d2",0.0102046898140968,0.308274931224706,-5.08090218712715,0.867631553130479
"GY","h2",2.70826450530021e-06,0.54091540337165,-21.6170848537259,1.59218387677578
"PHT","a2",0.809855897991725,0.270201655882369,1.93787183467936,0.673820386951235
"PHT","d2",0.0771389548825559,0.227675965545603,-1.35254597796137,0.412456891171303
"PHT","h2",0.00257892039135644,0.403711165270799,-7.74710745344038,1.2394017442961
"TW","a2",0.815777537979027,0.177521994333343,1.94175098283822,0.016565777521464
"TW","d2",0.539810928819639,0.798005372567618,1.59662053561433,1.92854811720312
"TW","h2",0.347304931233684,0.709268948560633,1.05213048136451,1.8483600599636
