trait,pval,mode,r_real,r_cs,file
asi,0.0082881724122894,a2,0.610502491378399,0.552918789920821,cache/gerpall_perse.csv
asi,0.00692436391891855,d2,0.566370603477537,0.489467651797984,cache/gerpall_perse.csv
dtp,0.0752325990951495,a2,0.95809805571384,0.951503710197698,cache/gerpall_perse.csv
dtp,0.032714079353837,d2,0.871355913631039,0.84173871023772,cache/gerpall_perse.csv
dts,0.0318739665428019,a2,0.962397525320551,0.954738497728744,cache/gerpall_perse.csv
dts,0.0735429908265203,d2,0.881472722595944,0.857947460276636,cache/gerpall_perse.csv
eht,0.076668089362769,a2,0.907809178534634,0.896716250956168,cache/gerpall_perse.csv
eht,0.385246273659574,d2,0.793342826374737,0.788334142029133,cache/gerpall_perse.csv
gy,0.652804776223384,a2,0.490286369385808,0.501557137439178,cache/gerpall_perse.csv
gy,0.0563299474760423,d2,0.375086181389348,0.313019518080636,cache/gerpall_perse.csv
pht,0.000395665059378516,a2,0.936706926665999,0.923008087666755,cache/gerpall_perse.csv
pht,0.372626383101902,d2,0.812959534256713,0.807756196655936,cache/gerpall_perse.csv
tw,0.526271351664643,a2,0.769228452500515,0.770077128418885,cache/gerpall_perse.csv
tw,0.0179684371434283,d2,0.585000168020664,0.53198590527989,cache/gerpall_perse.csv
asi,0.994444833743901,a2,0.340050100612335,0.437862850644239,cache/gerpall_BPHmax.csv
asi,0.825223959564642,d2,0.398599548478349,0.431510238779352,cache/gerpall_BPHmax.csv
dtp,0.964431384160015,a2,0.239257809128985,0.302094542140424,cache/gerpall_BPHmax.csv
dtp,0.00349031753690704,d2,0.323114512333268,0.218982058242716,cache/gerpall_BPHmax.csv
dts,0.77541776257073,a2,0.429094082443317,0.453599182568286,cache/gerpall_BPHmax.csv
dts,5.16634200669393e-08,d2,0.605873693504454,0.4165618182706,cache/gerpall_BPHmax.csv
eht,0.852739071805583,a2,0.335166793507371,0.369977131060007,cache/gerpall_BPHmax.csv
eht,0.469241461025572,d2,0.227008808112793,0.223986088892493,cache/gerpall_BPHmax.csv
gy,0.00181504976115501,a2,0.653029725705501,0.579843300354023,cache/gerpall_BPHmax.csv
gy,0.104414041974039,d2,0.510150806769983,0.467555922133808,cache/gerpall_BPHmax.csv
pht,0.307152894530424,a2,0.291816094351196,0.274575363534898,cache/gerpall_BPHmax.csv
pht,0.729789365485513,d2,0.212109751814163,0.235961410784074,cache/gerpall_BPHmax.csv
tw,0.282352047020609,a2,0.775998418282036,0.766850287055751,cache/gerpall_BPHmax.csv
tw,0.00798320289846956,d2,0.649260651512684,0.589985408276463,cache/gerpall_BPHmax.csv
asi,0.996967662031967,a2,0.142903006869567,0.27532822353389,cache/gerpall_pBPHmax.csv
asi,0.949544842488585,d2,0.158463615880779,0.218294517861759,cache/gerpall_pBPHmax.csv
dtp,0.775101609974633,a2,0.223963208888539,0.251136645207091,cache/gerpall_pBPHmax.csv
dtp,0.444263490701463,d2,0.188230051461765,0.182749554027598,cache/gerpall_pBPHmax.csv
dts,0.416331162888242,a2,0.307165187458089,0.300379644991838,cache/gerpall_pBPHmax.csv
dts,0.100439095014808,d2,0.299386804754402,0.254501067029795,cache/gerpall_pBPHmax.csv
eht,0.889097678932426,a2,0.122999125903639,0.166956213669399,cache/gerpall_pBPHmax.csv
eht,0.94908992008843,d2,0.0652593905441034,0.124576969897228,cache/gerpall_pBPHmax.csv
gy,0.0161970474450899,a2,0.592106746353907,0.533937738371708,cache/gerpall_pBPHmax.csv
gy,0.00957737769898467,d2,0.588346584304104,0.523454783477717,cache/gerpall_pBPHmax.csv
pht,0.0343472473721751,a2,0.14737883920986,0.0783214257749274,cache/gerpall_pBPHmax.csv
