frq,totvar,V1,nvar,sample
0.1,0.00012005334,11,0.1091394,0
0.15,3.168405e-05,3,0.1056135,0
0.2,0.00550017035,453,0.12141656401766,0
0.25,0.00622184411,492,0.126460246138211,0
0.3,0.00435871175,315,0.138371801587302,0
0.35,0.01864087245,1517,0.122879844759394,0
0.4,0.0217546505,1713,0.126997375948628,0
0.45,0.01583341481,1150,0.137681867913043,0
0.5,0.0119911211,842,0.142412364608076,0
0.1,7.164283e-05,7,0.1023469,1
0.2,0.00343557728,282,0.121828981560284,1
0.25,0.00564973091,450,0.125549575777778,1
0.3,0.00250558726,194,0.129153982474227,1
0.35,0.01690440109,1336,0.126529948278443,1
0.4,0.02008125152,1548,0.129723847028424,1
0.45,0.01197897218,871,0.137531253501722,1
0.5,0.01052564594,752,0.139968696010638,1
0.1,3.04713e-05,3,0.101571,2
0.2,0.00370614544,315,0.117655410793651,2
0.25,0.00558086447,441,0.126550214739229,2
0.3,0.00263839066,206,0.128077216504854,2
0.35,0.0177998132,1414,0.125882695898161,2
0.4,0.0201857461,1560,0.129395808333333,2
0.45,0.0119208009,879,0.135617757679181,2
0.5,0.01097203032,766,0.143237993733681,2
0.1,4.094488e-05,4,0.1023622,3
0.2,0.00356206828,297,0.119934958922559,3
0.25,0.00528005805,419,0.126015705250597,3
0.3,0.00248868415,199,0.125059505025126,3
0.35,0.01711816857,1365,0.125407828351648,3
0.4,0.01970140445,1539,0.128014323911631,3
0.45,0.01162737923,835,0.139250050658683,3
0.5,0.01166367184,822,0.141893818004866,3
0.1,3.082722e-05,3,0.1027574,4
0.2,0.0031678368,264,0.119993818181818,4
0.25,0.00549605811,430,0.127815304883721,4
0.3,0.00232431871,185,0.125638849189189,4
0.35,0.01748353299,1388,0.125962053242075,4
0.4,0.0207568649,1601,0.129649374765771,4
0.45,0.01175032728,857,0.137110003267211,4
0.5,0.0114495132,808,0.141701896039604,4
0.1,2.06534e-05,2,0.103267,5
0.2,0.00364100436,300,0.121366812,5
0.25,0.00529760538,417,0.127040896402878,5
0.3,0.00273091317,213,0.128211885915493,5
0.35,0.017174031,1378,0.124630123367199,5
0.4,0.02022105102,1550,0.130458393677419,5
0.45,0.01221753128,891,0.13712156318743,5
0.5,0.01147040431,808,0.141960449381188,5
0.1,7.167972e-05,7,0.1023996,6
0.2,0.00372338864,307,0.121283017589577,6
0.25,0.005139521,410,0.125354170731707,6
0.3,0.0023731294,190,0.124901547368421,6
0.35,0.01864525122,1486,0.125472753835801,6
0.4,0.02068016463,1613,0.128209328146311,6
0.45,0.01189943105,868,0.137090219470046,6
0.5,0.01115450927,792,0.140839763510101,6
0.1,6.114924e-05,6,0.1019154,7
0.2,0.00333737671,278,0.120049521942446,7
0.25,0.0056658627,453,0.125074231788079,7
0.3,0.00255312344,200,0.127656172,7
0.35,0.01800335322,1421,0.126694955805771,7
0.4,0.0205618809,1580,0.130138486708861,7
0.45,0.01189656738,856,0.13897859088785,7
0.5,0.01160512786,803,0.144522140224159,7
0.1,4.098956e-05,4,0.1024739,8
0.2,0.00386138315,322,0.11991873136646,8
0.25,0.00590416376,471,0.125353795329087,8
0.3,0.0027685138,221,0.125272117647059,8
0.35,0.01681926492,1332,0.126270757657658,8
0.4,0.02029935748,1573,0.129048680737444,8
0.45,0.01140544732,839,0.135940969249106,8
0.5,0.01059266599,759,0.139560816732543,8
0.1,3.081675e-05,3,0.1027225,9
0.2,0.00360802588,302,0.119471055629139,9
0.25,0.00574520642,453,0.126825748785872,9
0.3,0.00243217727,193,0.126019547668394,9
0.35,0.01768766462,1394,0.126884251219512,9
0.4,0.01995257981,1535,0.129984233289902,9
0.45,0.01140073391,832,0.137028051802885,9
0.5,0.0110300484,778,0.141774401028278,9
0.1,7.176379e-05,7,0.1025197,10
0.2,0.00380490451,313,0.121562444408946,10
0.25,0.00576805235,458,0.125940007641921,10
0.3,0.00234539853,189,0.12409516031746,10
0.35,0.01819295346,1446,0.125815722406639,10
0.4,0.02017768369,1570,0.128520278280255,10
0.45,0.01243091578,916,0.135708687554585,10
0.5,0.01104087748,762,0.144893405249344,10
