"trait","mode","p21","p43","p42","p31"
"ASI","a2",0.892558618333331,0.0280505015184704,4.44152360637615e-58,6.16471744061487e-58
"ASI","d2",1.32541360327636e-07,0.86517567741331,4.86959643859027e-51,6.16471744061487e-58
"ASI","h2",5.75948996146167e-07,0.606936279474633,1.05878369306474e-51,6.16471744061487e-58
"DTP","a2",1.43638595487604e-30,5.70818359273643e-08,7.1821436720973e-33,1.01179224783046e-55
"DTP","d2",0.292075994364995,0.035441863939654,1.41253965715557e-55,1.01179224783046e-55
"DTP","h2",2.29179357432445e-06,0.00290416206012633,5.60257809535148e-52,1.01179224783046e-55
"DTS","a2",1.66268721160422e-26,2.42505108641656e-10,1.23783721046466e-36,4.01083688329065e-53
"DTS","d2",0.0540714426149363,0.210452387989967,7.79439145942626e-52,4.01083688329065e-53
"DTS","h2",7.04832133898046e-09,0.0873124568180357,1.03739918657271e-45,4.01083688329065e-53
"EHT","a2",1.43212131740454e-08,0.00149168833558675,2.06363746566395e-58,3.90578024716152e-64
"EHT","d2",0.140893334158065,0.211173578972626,5.32846990672357e-63,3.90578024716152e-64
"EHT","h2",6.39566954663975e-30,0.00102198101950864,1.05474319307408e-37,3.90578024716152e-64
"GY","a2",0.671524757428883,0.54559894213221,6.3935883835404e-66,6.18939287682351e-67
"GY","d2",4.16340739747856e-06,0.13227657896182,8.2017457856492e-62,6.18939287682351e-67
"GY","h2",1.15324292134819e-23,0.811068168371442,2.98155164934025e-44,6.18939287682351e-67
"PHT","a2",4.78168523714226e-17,0.0250518741713476,3.73852508142473e-53,2.72634223483481e-68
"PHT","d2",0.0515158102752337,0.521011525793426,1.73476741365852e-66,2.72634223483481e-68
"PHT","h2",1.56561717603612e-29,0.374001742724375,5.4823887745536e-40,2.72634223483481e-68
"TW","a2",0.182945170701096,0.0297140959365487,5.4836071876337e-76,1.51838587595816e-76
"TW","d2",0.535508084901848,0.432271139937251,2.18463807018863e-75,1.51838587595816e-76
"TW","h2",1.24836303289974e-18,0.0314210236285494,1.21206875618156e-59,1.51838587595816e-76
