F1,P1,P2,GY,ASI,DTP,DTS,EHT,PHT,TW,compno,delscore
LH123HTxLH82,LH123HT,LH82,11.1747,0.7193,-0.2821,-0.9981,-6.5394,-9.2456,0.1339,388925,86460.2357
LH123HTxMO17,LH123HT,MO17,-8.7024,-0.0914,2.8153,2.8874,15.2051,20.2887,-0.3383,376460,96533.916582
LH123HTxPH207,LH123HT,PH207,3.5838,-0.5112,-1.3474,-0.8328,0.1717,6.8642,-1.4803,390700,85218.13833
LH123HTxPHG35,LH123HT,PHG35,0.3824,1.0523,1.6186,0.5609,12.7668,24.4783,-1.6262,404181,74236.294546
LH123HTxPHG39,LH123HT,PHG39,10.1583,0.4003,3.1189,2.7421,20.0214,41.4595,1.6668,398765,78590.814264
LH123HTxPHG47,LH123HT,PHG47,-2.5139,0.9613,2.2069,1.241,5.7421,14.5267,-0.0607,359140,110113.849692
LH123HTxPHG84,LH123HT,PHG84,1.3185,-0.3219,3.6839,3.9676,7.8446,20.9786,-0.0237,391165,84289.007276
LH123HTxPHJ40,LH123HT,PHJ40,-12.5196,0.6802,-2.2176,-2.8832,-1.0246,-10.4961,1.9379,383161,91046.867943
LH123HTxPHZ51,LH123HT,PHZ51,-5.4176,-0.3427,1.0052,1.3457,21.8166,28.4885,-0.2387,389488,85750.73158
LH1xLH123HT,LH1,LH123HT,-8.3365,-0.2698,2.7797,3.1006,-3.4534,11.4991,0.5149,397412,79411.953753
LH1xLH82,LH1,LH82,8.2653,-0.104,0.0783,0.1752,-26.2158,-47.7584,0.6812,388441,86726.13787
LH1xMO17,LH1,MO17,-0.3442,-1.6015,1.8016,3.4415,-0.1773,-2.0349,0.5766,406430,72046.990476
LH1xPH207,LH1,PH207,-22.0976,-1.5443,-0.7819,0.7535,-25.6725,-41.7362,0.2403,382999,91237.15558
LH1xPHG35,LH1,PHG35,-26.5864,-0.115,0.8275,0.9197,-15.6767,-19.7505,-0.043,407782,71196.42701
LH1xPHG39,LH1,PHG39,-25.2469,-0.0127,3.6243,3.6017,-10.1573,-12.8322,1.2594,383558,90725.601544
LH1xPHG47,LH1,PHG47,-3.5477,-0.4217,0.3308,0.7053,-19.6,-25.9473,-0.9622,401950,75519.505196
LH1xPHG84,LH1,PHG84,-10.7962,-0.8427,3.6253,4.4393,-14.1413,-5.5398,1.1895,400552,76309.82024
LH1xPHJ40,LH1,PHJ40,-10.6493,-0.0912,-1.4143,-1.3501,-18.3078,-17.7129,0.5089,396855,79610.609884
LH1xPHZ51,LH1,PHZ51,0.1525,0.4952,2.6218,2.0668,6.9185,18.942,0.5394,404098,73925.530794
LH82xMO17,LH82,MO17,4.1759,-0.508,-1.3518,-0.8614,-5.1837,-25.1447,-0.5071,389018,86180.03364
LH82xPH207,LH82,PH207,-5.1398,-0.0871,-3.6314,-3.5751,-19.7062,-38.6816,-1.2165,368301,103456.13379
LH82xPHG35,LH82,PHG35,-4.5933,0.8028,-2.7364,-3.6071,-17.2932,-30.0345,-0.4813,410826,69076.87363
LH82xPHG39,LH82,PHG39,10.3044,0.0471,-0.0695,-0.0839,-10.4409,-14.3113,1.8043,405849,72958.89987
LH82xPHG47,LH82,PHG47,11.8921,0.3839,-2.7996,-3.1622,-19.7313,-33.8031,-0.7513,388305,86695.07841
LH82xPHG84,LH82,PHG84,1.3052,0.4784,0.9242,0.4473,-7.1261,-16.621,0.1445,387852,87008.98355
LH82xPHJ40,LH82,PHJ40,-2.6562,0.5565,-5.2028,-5.7531,-15.0547,-37.9172,0.6115,395489,80793.964
LH82xPHZ51,LH82,PHZ51,8.0847,-0.2611,-1.6052,-1.3277,1.9326,-6.3511,-0.2932,393685,82302.14749
MO17xPH207,MO17,PH207,0.4291,-0.6026,-0.7181,-0.1226,5.7352,0.7109,-1.3012,392198,83883.412416
MO17xPHG35,MO17,PHG35,-0.5781,0.6405,0.6019,-0.0403,8.7854,4.0262,-1.244,412042,67867.675106
MO17xPHG39,MO17,PHG39,28.4054,-0.0541,1.9825,2.0662,10.1505,20.362,1.1164,406622,72285.4232
MO17xPHG47,MO17,PHG47,14.7035,-0.0218,0.049,0.0964,-3.6007,-4.5082,-2.0295,390412,84822.780822
MO17xPHG84,MO17,PHG84,1.9764,-0.3625,3.0134,3.3405,9.5063,13.257,0.2807,386438,87918.057526
MO17xPHJ40,MO17,PHJ40,-9.5415,-0.1543,-2.5539,-2.3775,4.3494,-19.2858,-0.4259,375085,97324.784146
MO17xPHZ51,MO17,PHZ51,-5.2024,-0.4431,0.8363,1.3539,10.2872,18.2731,-0.6933,376662,95945.867006
PH207xPHG35,PH207,PHG35,-13.5658,0.1341,-1.8134,-2.0121,-8.6005,-13.1414,-1.8345,410064,69740.63789
