Hyb,P1,P2,valHyb,valP1,valP2,BPHmax,pBPHmax,BPHmin,pBPHmin,MPH,pMPH,trait,pBPH
hyb1,B73,LH1,156.96123,78.63465,51.86018,78.327,0.9961,105.101,1.5103,91.714,1.6108,GY,99.61
hyb2,B73,LH123HT,183.29527,78.63465,78.89285,104.402,1.3233,104.661,1.3277,104.532,1.3288,GY,132.33
hyb3,B73,LH82,191.79534,78.63465,97.40162,94.394,0.9691,113.161,1.2004,103.777,1.2857,GY,96.91
hyb4,B73,MO17,196.08221,78.63465,74.87945,117.448,1.4936,121.203,1.5685,119.325,1.579,GY,149.36
hyb5,B73,PH207,149.04103,78.63465,73.38526,70.406,0.8954,75.656,0.9594,73.031,0.9953,GY,89.54
hyb6,B73,PHG35,174.82472,78.63465,73.80703,96.19,1.2233,101.018,1.3033,98.604,1.3253,GY,122.33
hyb7,B73,PHG39,184.88768,78.63465,37.24616,106.253,1.3512,147.642,2.8527,126.947,2.5482,GY,135.12
hyb8,B73,PHG47,195.67646,78.63465,64.27034,117.042,1.4884,131.406,1.8211,124.224,1.8391,GY,148.84
hyb9,B73,PHG84,180.65773,78.63465,37.65306,102.023,1.2974,143.005,2.7096,122.514,2.4595,GY,129.74
hyb10,B73,PHJ40,168.07613,78.63465,67.24853,89.441,1.1374,100.828,1.33,95.135,1.3823,GY,113.74
hyb11,B73,PHZ51,173.87233,78.63465,56.27893,95.238,1.2111,117.593,1.6922,106.416,1.7432,GY,121.11
hyb12,LH1,LH123HT,162.63143,51.86018,78.89285,83.739,1.0614,110.771,1.6147,97.255,1.6944,GY,106.14
hyb13,LH1,LH82,179.14718,51.86018,97.40162,81.746,0.8393,127.287,1.5763,104.516,1.7056,GY,83.93
hyb14,LH1,MO17,171.1182,51.86018,74.87945,96.239,1.2853,119.258,1.8557,107.748,1.8819,GY,128.53
hyb15,LH1,PH207,149.91677,51.86018,73.38526,76.532,1.0429,98.057,1.4757,87.294,1.5658,GY,104.29
hyb16,LH1,PHG35,145.27542,51.86018,73.80703,71.468,0.9683,93.415,1.3781,82.442,1.4867,GY,96.83
hyb17,LH1,PHG39,144.1456,51.86018,37.24616,92.285,1.7795,106.899,2.4777,99.592,2.3994,GY,177.95
hyb18,LH1,PHG47,168.20879,51.86018,64.27034,103.938,1.6172,116.349,2.0042,110.144,2.0038,GY,161.72
hyb19,LH1,PHG84,159.99784,51.86018,37.65306,108.138,2.0852,122.345,2.872,115.241,2.7336,GY,208.52
hyb20,LH1,PHJ40,161.009,51.86018,67.24853,93.76,1.3942,109.149,1.8079,101.455,1.8328,GY,139.42
hyb21,LH1,PHZ51,170.88696,51.86018,56.27893,114.608,2.0364,119.027,2.2099,116.817,2.2014,GY,203.64
