file,genvar,resvar,totvar,h2,pheno,trait,mode
dtp_BPHmax_1a2.out1,0.98981,1.82533,2.81514,0.351602,dtp,BPHmax,a2
dtp_BPHmax_1d2.out1,2.28694,0.634722,2.92167,0.782753,dtp,BPHmax,d2
dts_BPHmax_1a2.out1,3.92842,0.274324,4.20274,0.934727,dts,BPHmax,a2
dts_BPHmax_1d2.out1,3.47414,0.639584,4.11372,0.844524,dts,BPHmax,d2
eht_BPHmax_1a2.out1,12.0508,43.8492,55.9,0.215579,eht,BPHmax,a2
eht_BPHmax_1d2.out1,1.21249,56.5742,57.7867,0.0209822,eht,BPHmax,d2
gy_BPHmax_1a2.out1,201.109,60.2998,261.409,0.769328,gy,BPHmax,a2
gy_BPHmax_1d2.out1,154.267,98.5235,252.791,0.610257,gy,BPHmax,d2
pht_BPHmax_1a2.out1,206.131,34.4191,240.55,0.856915,pht,BPHmax,a2
pht_BPHmax_1d2.out1,74.5714,148.889,223.461,0.333711,pht,BPHmax,d2
tw_BPHmax_1a2.out1,1.18175,0.454297,1.63605,0.72232,tw,BPHmax,a2
tw_BPHmax_1d2.out1,0.832492,0.741342,1.57383,0.528958,tw,BPHmax,d2
asi_BPHmin_1a2.out1,0.615716,0.210005,0.825721,0.74567,asi,BPHmin,a2
asi_BPHmin_1d2.out1,0.137153,0.647929,0.785082,0.174699,asi,BPHmin,d2
dtp_pBPHmax_1a2.out1,0.00415313,0.0545444,0.0586975,0.0707547,dtp,pBPHmax,a2
dtp_pBPHmax_1d2.out1,0.00364999,0.0541736,0.0578236,0.0631228,dtp,pBPHmax,d2
dts_pBPHmax_1a2.out1,0.00445474,0.0549677,0.0594225,0.0749672,dts,pBPHmax,a2
dts_pBPHmax_1d2.out1,0.00392039,0.0546086,0.058529,0.066982,dts,pBPHmax,d2
eht_pBPHmax_1a2.out1,0.119629,1.75702,1.87664,0.063746,eht,pBPHmax,a2
eht_pBPHmax_1d2.out1,0.103364,1.74468,1.84804,0.0559316,eht,pBPHmax,d2
gy_pBPHmax_1a2.out1,2.1738,10.0276,10.245,0.212181,gy,pBPHmax,a2
gy_pBPHmax_1d2.out1,1.83285,10.0127,10.196,0.179761,gy,pBPHmax,d2
pht_pBPHmax_1a2.out1,0.340205,4.81376,5.15396,0.0660085,pht,pBPHmax,a2
pht_pBPHmax_1d2.out1,0.292861,4.75354,5.0464,0.0580336,pht,pBPHmax,d2
tw_pBPHmax_1a2.out1,0.00212973,0.0724032,0.074533,0.0285744,tw,pBPHmax,a2
tw_pBPHmax_1d2.out1,0.00177565,0.0720669,0.0738426,0.0240464,tw,pBPHmax,d2
asi_pBPHmin_1a2.out1,0.00145911,0.0973284,0.0987875,0.0147702,asi,pBPHmin,a2
asi_pBPHmin_1d2.out1,0.00107319,0.0976725,0.0987457,0.0108682,asi,pBPHmin,d2
asi_perse_1a2.out1,0.105704,0.211269,0.316973,0.33348,asi,perse,a2
asi_perse_1d2.out1,0.0186074,0.305362,0.32397,0.0574357,asi,perse,d2
dtp_perse_1a2.out1,5.2007,0.211299,5.412,0.960957,dtp,perse,a2
dtp_perse_1d2.out1,4.00485,1.19377,5.19862,0.770367,dtp,perse,d2
dts_perse_1a2.out1,6.08156,0.211491,6.29305,0.966393,dts,perse,a2
dts_perse_1d2.out1,4.81679,1.24155,6.05834,0.795067,dts,perse,d2
eht_perse_1a2.out1,131.38,9.33702,140.717,0.933647,eht,perse,a2
eht_perse_1d2.out1,90.9055,42.3611,133.267,0.682133,eht,perse,d2
gy_perse_1a2.out1,93.425,73.4474,166.872,0.559859,gy,perse,a2
gy_perse_1d2.out1,4.23151,160.549,164.78,0.0256798,gy,perse,d2
pht_perse_1a2.out1,408.236,19.9427,428.179,0.953424,pht,perse,a2
pht_perse_1d2.out1,283.553,122.262,405.816,0.698725,pht,perse,d2
tw_perse_1a2.out1,0.853713,0.434431,1.28814,0.662747,tw,perse,a2
tw_perse_1d2.out1,0.275676,0.951161,1.22684,0.224704,tw,perse,d2
