"phenotype" "p-value" "mode" "trait" "FDR"
"1" "ASI" 0.981346192398959 "additive" "perse" 0.999999967802965
"2" "ASI" 0.459679197619947 "d2" "perse" 0.999999967802965
"3" "DTP" 0.642949787523195 "additive" "perse" 0.999999967802965
"4" "DTP" 0.400621848813518 "d2" "perse" 0.999999967802965
"5" "DTS" 0.870711107472603 "additive" "perse" 0.999999967802965
"6" "DTS" 0.642512024879676 "d2" "perse" 0.999999967802965
"7" "EHT" 0.125053076690268 "additive" "perse" 0.821777361107475
"8" "EHT" 0.909436588676427 "d2" "perse" 0.999999967802965
"9" "GY" 4.21809184426814e-05 "additive" "perse" 0.000970161124181672
"10" "GY" 0.199029285616494 "d2" "perse" 0.873387536264599
"11" "PHT" 0.0160247542806978 "additive" "perse" 0.14742773938242
"12" "PHT" 0.851840464429138 "d2" "perse" 0.999999967802965
"13" "TW" 0.525024122339391 "additive" "perse" 0.999999967802965
"14" "TW" 0.923123040223022 "d2" "perse" 0.999999967802965
"15" "ASI" 0.594510226243754 "additive" "BPHmax" 0.999999967802965
"16" "ASI" 0.906724089305842 "d2" "BPHmax" 0.999999967802965
"17" "DTP" 0.995814261017178 "additive" "BPHmax" 0.999999967802965
"18" "DTP" 0.351951603119042 "d2" "BPHmax" 0.999999967802965
"19" "DTS" 0.999999967802965 "additive" "BPHmax" 0.999999967802965
"20" "DTS" 0.243970947467084 "d2" "BPHmax" 0.935221965290489
"21" "EHT" 0.0881090590027698 "additive" "BPHmax" 0.675502785687902
"22" "EHT" 0.601745051345751 "d2" "BPHmax" 0.999999967802965
"23" "GY" 2.32484786033416e-06 "additive" "BPHmax" 0.000106943001575371
"24" "GY" 0.146391916596186 "d2" "BPHmax" 0.84175352042807
"25" "PHT" 0.000502701866629508 "additive" "BPHmax" 0.00770809528831912
"26" "PHT" 0.881235457877216 "d2" "BPHmax" 0.999999967802965
"27" "TW" 0.471070420216671 "additive" "BPHmax" 0.999999967802965
"28" "TW" 0.894651079059146 "d2" "BPHmax" 0.999999967802965
"29" "ASI" 0.746978680449998 "additive" "pBPHmax" 0.999999967802965
"30" "ASI" 0.549270592478453 "d2" "pBPHmax" 0.999999967802965
"31" "DTP" 0.827034003583247 "additive" "pBPHmax" 0.999999967802965
"32" "DTP" 0.717946190217765 "d2" "pBPHmax" 0.999999967802965
"33" "DTS" 0.937053532763178 "additive" "pBPHmax" 0.999999967802965
"34" "DTS" 0.93523755046194 "d2" "pBPHmax" 0.999999967802965
"35" "EHT" 0.193780701352958 "additive" "pBPHmax" 0.873387536264599
"36" "EHT" 0.995616970764653 "d2" "pBPHmax" 0.999999967802965
"37" "GY" 0.642035612928982 "additive" "pBPHmax" 0.999999967802965
"38" "GY" 0.00232630233820641 "d2" "pBPHmax" 0.0267524768893737
"39" "PHT" 0.208853541280665 "additive" "pBPHmax" 0.873387536264599
"40" "PHT" 0.883248608622276 "d2" "pBPHmax" 0.999999967802965
"41" "TW" 0.971912855930444 "additive" "pBPHmax" 0.999999967802965
"42" "TW" 0.998870011934343 "d2" "pBPHmax" 0.999999967802965
"43" "ASI" 0.742322052472576 "additive" "BPHmin" 0.999999967802965
"44" "ASI" 0.987554187606098 "d2" "BPHmin" 0.999999967802965
"45" "ASI" 0.728602449596923 "additive" "pBPHmin" 0.999999967802965
"46" "ASI" 0.690487994614602 "d2" "pBPHmin" 0.999999967802965
