LH1,MO17,PHG35,PHG47,PHJ40,LH123HT,LH82,PH207,PHG39,PHG84,PHZ51,bin,mean
1.16,4.287,0,0,0,0,0,0,1.16,0,4.287,1_-8,0.990363636363636
14.642,13.123,7.799,13.4275,16.121,2.1615,5.552,19.609,12.362,7.306,1.907,1_-7,10.3645454545455
0,1.153,1.36,0,0,0,0,0,0,1.36,1.153,1_-6,0.456909090909091
2.11,1.268,3.891,3.378,1.16,2.536,2.002,4.39,4.39,3.891,1.268,1_-5,2.75309090909091
8.394,4.93,6.907,6.817,5.682,5.691,4.523,7.131,7.726,8.974,4.248,1_-4,6.45663636363636
4.1692,2.063,8.7315,4.815,1.417,4.815,2.259,4.2105,4.2105,8.6902,2.063,1_-3,4.31308181818182
5.343,1.871,5.497,1.871,1.093,1.871,0.421,5.343,5.343,5.497,1.871,1_-2,3.27463636363636
0,10.908,5.869,8.118,5.341,5.417,6.682,0.421,0,3.025,10.84,1_-1,5.14736363636364
31.7417,22.46542,17.753,30.82442,17.332,21.83142,0,29.8827,32.1627,32.1627,21.09742,1_0,23.38668
26.8446,27.848,21.24,20.8736,18.782,25.7046,0,31.345,25.9676,18.02,35.381,1_1,22.9096727272727
18.885,16.976,40.2182,20.229,12.162,14.838,0,42.3442,19.306,12.307,20.291,1_2,19.7778545454545
110.7759,112.2629,134.93,66.7781,71.9627,65.2921,18.9552,131.032,111.5719,64.8059,44.0114,1_3,84.7616454545455
53.99742,71.7567,51.15979,43.1663,48.842,44.1963,53.8187,59.65509,50.60341,80.637,53.54811,1_4,55.5800745454545
0,136.3041,128.0151,138.4936,82.3784,131.3756,53.8453,54.2213,0,75.7169,78.218,1_5,79.8698454545455
0,49.062,35.725,51.149,59.901,49.185,54.471,52.487,0,16.991,44.179,1_6,37.5590909090909
0.809,45.9796,56.58164,38.35904,41.1778,36.53404,51.8208,46.1468,0.809,72.71514,54.39154,1_7,40.4840363636364
